# file...... Capacitor_CAP1.csv
# date...... Sun Aug 12 18:50:22 2012
# user...... dwp0
# host...... (null)
# target.... capacitor 56
# trigger... (none)
# interval.. 60
# limit..... 24
# timestamp,switchA,switchB,switchC
2000-01-01 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:01:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:02:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:03:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:04:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:05:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:06:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:07:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:08:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:09:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:10:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:11:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:12:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:13:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:14:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:15:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:16:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:17:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:18:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:19:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:20:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:21:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:22:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 00:23:00 PST,CLOSED,CLOSED,CLOSED
