Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
14,14,2000-01-12 20:18:25,2000-01-12 20:18:28,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
15,15,2000-01-14 14:34:55,2000-01-14 14:35:01,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
16,16,2000-01-15 23:13:56,2000-01-15 23:13:57,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
17,17,2000-01-16 18:55:17,2000-01-16 18:55:21,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
18,18,2000-01-16 20:07:13,2000-01-16 20:07:14,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
19,19,2000-01-16 21:36:58,2000-01-16 21:37:02,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
20,20,2000-01-17 05:17:10,2000-01-17 05:17:11,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
21,21,2000-01-17 20:01:39,2000-01-17 20:01:40,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
22,22,2000-01-19 21:06:13,2000-01-19 21:06:15,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
23,23,2000-01-20 14:44:05,2000-01-20 14:44:06,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
24,24,2000-01-21 16:23:25,2000-01-21 16:23:29,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
25,25,2000-01-23 09:54:23,2000-01-23 09:54:27,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
26,26,2000-01-23 10:46:07,2000-01-23 10:46:08,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
27,27,2000-01-29 23:47:03,2000-01-29 23:47:07,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
28,28,2000-01-30 05:02:02,2000-01-30 05:02:08,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
29,29,2000-02-01 06:28:46,2000-02-01 06:28:47,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
30,30,2000-02-02 03:39:39,2000-02-02 03:39:40,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
31,31,2000-02-02 04:56:52,2000-02-02 04:56:53,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
32,32,2000-02-04 17:08:19,2000-02-04 17:08:21,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
33,33,2000-02-06 19:11:12,2000-02-06 19:11:14,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
34,34,2000-02-07 02:06:45,2000-02-07 02:06:46,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
35,35,2000-02-07 04:52:59,2000-02-07 04:53:00,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
36,36,2000-02-07 05:31:29,2000-02-07 05:31:30,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
37,37,2000-02-07 09:01:46,2000-02-07 09:01:47,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
38,38,2000-02-07 14:30:51,2000-02-07 14:30:52,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
39,39,2000-02-08 13:39:07,2000-02-08 13:39:08,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
40,40,2000-02-09 19:48:25,2000-02-09 19:48:31,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
41,41,2000-02-10 04:50:57,2000-02-10 04:50:59,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
42,42,2000-02-10 21:57:27,2000-02-10 21:57:28,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
43,43,2000-02-10 22:43:14,2000-02-10 22:43:17,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
44,44,2000-02-11 15:32:22,2000-02-11 15:32:23,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
45,45,2000-02-11 15:43:53,2000-02-11 15:43:54,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
46,46,2000-02-16 01:34:06,2000-02-16 01:34:21,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
47,47,2000-02-16 06:56:20,2000-02-16 06:56:21,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
48,48,2000-02-17 14:22:26,2000-02-17 14:22:28,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
49,49,2000-02-18 23:55:29,2000-02-18 23:55:30,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
