Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
201,201,2000-07-11 08:58:08,2000-07-11 08:58:09,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
202,202,2000-07-12 12:18:42,2000-07-12 12:18:43,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
203,203,2000-07-12 12:57:25,2000-07-12 12:57:26,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
204,204,2000-07-13 11:23:06,2000-07-13 11:23:07,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
205,205,2000-07-13 21:42:20,2000-07-13 21:42:21,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
206,206,2000-07-15 15:02:09,2000-07-15 15:02:11,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
207,207,2000-07-15 21:01:54,2000-07-15 21:01:55,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
208,208,2000-07-17 00:51:59,2000-07-17 00:52:00,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
209,209,2000-07-17 20:11:29,2000-07-17 20:11:31,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
210,210,2000-07-20 10:29:42,2000-07-20 10:29:46,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
211,211,2000-07-20 14:29:31,2000-07-20 14:29:36,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
212,212,2000-07-20 17:24:21,2000-07-20 17:24:38,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
213,213,2000-07-21 05:22:07,2000-07-21 05:22:08,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
214,214,2000-07-21 15:01:34,2000-07-21 15:01:35,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
215,215,2000-07-24 04:59:12,2000-07-24 04:59:13,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
216,216,2000-07-24 06:59:12,2000-07-24 06:59:13,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
217,217,2000-07-24 19:05:04,2000-07-24 19:05:24,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
218,218,2000-07-25 08:09:22,2000-07-25 08:09:25,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
219,219,2000-07-25 15:35:36,2000-07-25 15:35:37,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
220,220,2000-07-26 03:20:18,2000-07-26 03:20:25,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
221,221,2000-07-26 03:45:02,2000-07-26 03:45:04,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
222,222,2000-07-26 07:31:39,2000-07-26 07:31:40,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
223,223,2000-07-27 01:56:35,2000-07-27 01:56:48,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
224,224,2000-07-28 18:47:28,2000-07-28 18:47:29,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
225,225,2000-07-29 23:28:30,2000-07-29 23:28:32,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
226,226,2000-07-30 13:52:10,2000-07-30 13:52:13,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
227,227,2000-07-30 19:29:30,2000-07-30 19:29:33,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
228,228,2000-07-31 02:59:31,2000-07-31 02:59:33,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
229,229,2000-08-03 16:47:25,2000-08-03 16:47:27,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
230,230,2000-08-04 10:11:59,2000-08-04 10:12:06,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
231,231,2000-08-04 14:10:52,2000-08-04 14:10:54,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
232,232,2000-08-04 23:53:53,2000-08-04 23:53:55,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
233,233,2000-08-05 18:05:37,2000-08-05 18:05:40,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
234,234,2000-08-10 04:12:51,2000-08-10 04:12:52,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
235,235,2000-08-11 02:36:32,2000-08-11 02:36:34,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
236,236,2000-08-11 03:30:28,2000-08-11 03:30:32,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
237,237,2000-08-11 03:57:35,2000-08-11 03:57:39,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
238,238,2000-08-11 10:40:40,2000-08-11 10:40:42,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
239,239,2000-08-11 18:19:58,2000-08-11 18:19:59,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
240,240,2000-08-11 20:00:53,2000-08-11 20:00:54,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
241,241,2000-08-12 12:32:38,2000-08-12 12:32:39,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
242,242,2000-08-12 18:35:35,2000-08-12 18:35:36,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
243,243,2000-08-12 20:32:45,2000-08-12 20:32:46,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
244,244,2000-08-13 02:49:15,2000-08-13 02:49:16,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
245,245,2000-08-13 13:34:27,2000-08-13 13:34:28,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
246,246,2000-08-15 07:49:55,2000-08-15 07:50:06,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
247,247,2000-08-16 02:59:58,2000-08-16 02:59:59,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
248,248,2000-08-18 06:07:04,2000-08-18 06:07:06,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
249,249,2000-08-19 07:53:06,2000-08-19 07:53:09,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
250,250,2000-08-19 21:55:13,2000-08-19 21:55:16,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
251,251,2000-08-19 23:03:04,2000-08-19 23:03:08,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
252,252,2000-08-20 16:47:15,2000-08-20 16:47:17,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
253,253,2000-08-22 17:08:37,2000-08-22 17:08:41,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
254,254,2000-08-22 17:25:03,2000-08-22 17:25:05,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
255,255,2000-08-23 08:55:54,2000-08-23 08:55:55,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
256,256,2000-08-24 06:35:22,2000-08-24 06:35:23,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
257,257,2000-08-24 06:56:47,2000-08-24 06:56:48,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
258,258,2000-08-24 08:44:50,2000-08-24 08:44:51,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
259,259,2000-08-24 11:51:29,2000-08-24 11:51:30,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
260,260,2000-08-25 23:58:46,2000-08-25 23:58:47,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
261,261,2000-08-28 23:51:34,2000-08-28 23:51:36,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
262,262,2000-08-30 04:14:46,2000-08-30 04:14:47,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
263,263,2000-08-30 14:24:51,2000-08-30 14:25:01,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
264,264,2000-09-01 18:13:02,2000-09-01 18:13:03,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
265,265,2000-09-02 00:07:32,2000-09-02 00:07:33,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
266,266,2000-09-02 21:27:24,2000-09-02 21:27:28,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
267,267,2000-09-04 06:07:04,2000-09-04 06:07:06,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
268,268,2000-09-05 09:03:36,2000-09-05 09:03:40,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
269,269,2000-09-06 00:15:48,2000-09-06 00:15:49,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
270,270,2000-09-06 08:39:26,2000-09-06 08:39:28,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
271,271,2000-09-08 17:28:51,2000-09-08 17:28:54,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
272,272,2000-09-09 10:28:58,2000-09-09 10:29:00,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
273,273,2000-09-10 02:19:51,2000-09-10 02:19:58,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
274,274,2000-09-11 05:40:45,2000-09-11 05:40:46,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
275,275,2000-09-12 18:36:30,2000-09-12 18:36:31,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
276,276,2000-09-15 02:27:00,2000-09-15 02:27:09,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
277,277,2000-09-15 16:03:06,2000-09-15 16:03:08,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
278,278,2000-09-19 15:13:34,2000-09-19 15:13:36,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
279,279,2000-09-20 02:34:10,2000-09-20 02:34:11,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
280,280,2000-09-22 15:00:00,2000-09-22 15:00:01,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
281,281,2000-09-22 19:43:04,2000-09-22 19:43:05,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
282,282,2000-09-23 11:04:54,2000-09-23 11:04:59,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
283,283,2000-09-23 16:36:28,2000-09-23 16:36:29,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
284,284,2000-09-23 18:25:09,2000-09-23 18:25:11,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
285,285,2000-09-24 17:35:03,2000-09-24 17:35:05,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
286,286,2000-09-24 22:44:20,2000-09-24 22:44:21,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
287,287,2000-09-25 04:49:08,2000-09-25 04:49:13,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
288,288,2000-09-25 11:58:22,2000-09-25 11:58:23,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
289,289,2000-09-26 12:45:04,2000-09-26 12:45:06,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
290,290,2000-09-26 15:43:04,2000-09-26 15:43:05,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
291,291,2000-09-27 12:15:42,2000-09-27 12:15:44,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
292,292,2000-09-29 09:36:52,2000-09-29 09:36:53,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
293,293,2000-09-29 18:04:56,2000-09-29 18:04:57,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
294,294,2000-10-01 05:33:00,2000-10-01 05:33:01,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
295,295,2000-10-01 05:46:59,2000-10-01 05:47:02,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
296,296,2000-10-01 13:13:11,2000-10-01 13:13:12,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
297,297,2000-10-01 18:56:07,2000-10-01 18:56:09,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
298,298,2000-10-03 12:22:27,2000-10-03 12:22:28,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
299,299,2000-10-06 17:40:03,2000-10-06 17:40:04,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
300,300,2000-10-08 00:46:35,2000-10-08 00:46:38,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
301,301,2000-10-08 12:42:22,2000-10-08 12:42:23,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
302,302,2000-10-09 00:46:47,2000-10-09 00:46:49,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
303,303,2000-10-09 11:40:00,2000-10-09 11:40:01,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
304,304,2000-10-11 02:46:30,2000-10-11 02:46:32,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
305,305,2000-10-11 19:50:34,2000-10-11 19:50:36,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
306,306,2000-10-12 07:26:07,2000-10-12 07:26:08,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
307,307,2000-10-13 22:46:18,2000-10-13 22:46:19,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
308,308,2000-10-15 15:12:45,2000-10-15 15:12:46,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
309,309,2000-10-16 18:31:13,2000-10-16 18:31:20,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
310,310,2000-10-16 20:12:39,2000-10-16 20:12:40,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
311,311,2000-10-18 04:52:24,2000-10-18 04:52:25,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
312,312,2000-10-18 09:27:18,2000-10-18 09:27:36,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
313,313,2000-10-18 18:47:04,2000-10-18 18:47:05,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
314,314,2000-10-19 01:00:45,2000-10-19 01:00:48,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
315,315,2000-10-19 13:50:45,2000-10-19 13:50:49,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
316,316,2000-10-21 10:26:20,2000-10-21 10:26:22,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
317,317,2000-10-22 16:15:16,2000-10-22 16:15:17,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
318,318,2000-10-23 00:27:19,2000-10-23 00:27:20,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
319,319,2000-10-23 05:45:24,2000-10-23 05:45:26,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
320,320,2000-10-23 08:15:42,2000-10-23 08:15:43,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
321,321,2000-10-23 10:04:31,2000-10-23 10:04:32,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
322,322,2000-10-24 04:09:43,2000-10-24 04:09:45,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
323,323,2000-10-24 23:25:51,2000-10-24 23:25:52,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
324,324,2000-10-28 01:06:41,2000-10-28 01:06:42,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
325,325,2000-10-28 17:35:36,2000-10-28 17:35:37,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
326,326,2000-10-28 19:13:23,2000-10-28 19:13:25,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
327,327,2000-10-30 15:46:51,2000-10-30 15:46:53,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
328,328,2000-10-30 22:38:56,2000-10-30 22:38:57,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
329,329,2000-10-31 03:03:59,2000-10-31 03:04:01,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
330,330,2000-11-01 00:22:56,2000-11-01 00:23:03,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
331,331,2000-11-03 23:56:33,2000-11-03 23:56:46,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
332,332,2000-11-04 15:35:42,2000-11-04 15:35:43,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
333,333,2000-11-05 01:44:36,2000-11-05 01:44:45,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
334,334,2000-11-05 05:54:17,2000-11-05 05:54:18,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
335,335,2000-11-05 06:16:55,2000-11-05 06:16:56,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
336,336,2000-11-06 05:45:17,2000-11-06 05:45:18,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
337,337,2000-11-06 18:42:09,2000-11-06 18:42:10,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
338,338,2000-11-06 23:34:14,2000-11-06 23:34:15,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
339,339,2000-11-07 16:15:40,2000-11-07 16:15:44,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
340,340,2000-11-08 10:22:25,2000-11-08 10:22:26,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
341,341,2000-11-09 03:40:27,2000-11-09 03:40:30,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
342,342,2000-11-10 05:51:25,2000-11-10 05:51:26,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
343,343,2000-11-11 02:35:46,2000-11-11 02:35:47,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
344,344,2000-11-11 22:21:52,2000-11-11 22:21:54,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
345,345,2000-11-13 05:13:23,2000-11-13 05:13:24,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
346,346,2000-11-14 00:26:13,2000-11-14 00:26:16,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
347,347,2000-11-16 02:28:25,2000-11-16 02:28:26,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
348,348,2000-11-17 23:53:46,2000-11-17 23:59:19,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
349,349,2000-11-18 19:58:21,2000-11-18 19:58:23,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
350,350,2000-11-19 08:56:44,2000-11-19 08:56:46,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
351,351,2000-11-19 13:28:45,2000-11-19 13:28:51,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
352,352,2000-11-20 02:13:02,2000-11-20 02:13:03,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
353,353,2000-11-20 10:42:04,2000-11-20 10:42:05,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
354,354,2000-11-20 14:30:30,2000-11-20 14:30:36,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
355,355,2000-11-21 12:11:20,2000-11-21 12:11:22,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
356,356,2000-11-22 20:11:49,2000-11-22 20:11:52,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
357,357,2000-11-24 05:41:52,2000-11-24 05:41:53,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
358,358,2000-11-26 06:55:57,2000-11-26 06:56:19,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
359,359,2000-11-26 19:56:04,2000-11-26 19:56:05,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
360,360,2000-11-26 21:30:21,2000-11-26 21:30:24,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
361,361,2000-11-28 20:50:53,2000-11-28 20:50:54,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
362,362,2000-11-29 17:49:19,2000-11-29 17:49:20,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
363,363,2000-11-30 09:11:38,2000-11-30 09:11:39,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
364,364,2000-11-30 18:33:45,2000-11-30 18:33:50,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
365,365,2000-12-03 05:17:17,2000-12-03 05:17:18,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
366,366,2000-12-03 05:53:24,2000-12-03 05:53:30,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
367,367,2000-12-03 07:09:39,2000-12-03 07:09:40,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
368,368,2000-12-03 23:16:28,2000-12-03 23:16:32,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
369,369,2000-12-05 14:41:23,2000-12-05 14:41:46,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
370,370,2000-12-05 18:50:52,2000-12-05 18:50:53,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
371,371,2000-12-06 01:22:09,2000-12-06 01:22:10,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
372,372,2000-12-06 18:10:14,2000-12-06 18:10:16,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
373,373,2000-12-07 06:08:10,2000-12-07 06:08:11,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
374,374,2000-12-08 14:01:20,2000-12-08 14:01:23,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
375,375,2000-12-09 05:11:31,2000-12-09 05:11:33,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
376,376,2000-12-09 11:18:37,2000-12-09 11:19:54,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
377,377,2000-12-09 18:03:19,2000-12-09 18:03:34,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
378,378,2000-12-09 20:30:40,2000-12-09 20:30:43,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
379,379,2000-12-11 14:51:30,2000-12-11 14:51:31,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
380,380,2000-12-11 21:35:46,2000-12-11 21:35:52,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
381,381,2000-12-11 21:54:55,2000-12-11 21:54:56,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
382,382,2000-12-13 03:14:42,2000-12-13 03:14:43,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
383,383,2000-12-14 08:35:57,2000-12-14 08:36:01,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
384,384,2000-12-15 22:16:09,2000-12-15 22:16:11,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
385,385,2000-12-16 03:16:14,2000-12-16 03:16:16,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
386,386,2000-12-19 00:02:13,2000-12-19 00:02:16,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
387,387,2000-12-19 08:42:30,2000-12-19 08:42:41,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
388,388,2000-12-19 11:34:44,2000-12-19 11:34:45,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
389,389,2000-12-20 15:19:05,2000-12-20 15:20:53,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
390,390,2000-12-20 21:29:59,2000-12-20 21:30:00,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
391,391,2000-12-22 01:26:03,2000-12-22 01:26:05,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0
392,392,2000-12-22 02:30:17,2000-12-22 02:30:18,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
393,393,2000-12-23 04:32:52,2000-12-23 04:32:53,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
394,394,2000-12-23 08:53:17,2000-12-23 08:53:28,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
395,395,2000-12-24 13:12:32,2000-12-24 13:12:43,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
396,396,2000-12-24 18:53:05,2000-12-24 18:53:06,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
397,397,2000-12-25 23:25:17,2000-12-25 23:25:20,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
398,398,2000-12-26 12:50:51,2000-12-26 12:52:53,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
399,399,2000-12-29 23:25:17,2000-12-29 23:25:31,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
400,400,2000-12-30 04:06:21,2000-12-30 04:06:23,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,25,0

SAIFI = 1.000000, SAIDI = 0.092500, CAIDI = 0.092500, ASAI = 0.999989, MAIFI = 310.040000

New Annual Interval started at 2000-12-31 00:00:00

1,401,2000-12-31 10:42:32,2000-12-31 10:42:34,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
2,402,2000-12-31 21:10:08,2000-12-31 21:10:11,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
3,403,2000-12-31 23:35:02,2000-12-31 23:35:04,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
4,404,2001-01-02 05:53:55,2001-01-02 05:53:56,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
5,405,2001-01-03 03:48:29,2001-01-03 03:48:30,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
6,406,2001-01-03 07:59:26,2001-01-03 07:59:28,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
7,407,2001-01-03 22:09:37,2001-01-03 22:09:40,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
8,408,2001-01-04 00:50:28,2001-01-04 00:50:29,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
9,409,2001-01-04 04:55:33,2001-01-04 04:55:34,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
10,410,2001-01-04 18:17:08,2001-01-04 18:17:09,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
11,411,2001-01-04 21:37:37,2001-01-04 21:37:41,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
12,412,2001-01-06 07:04:30,2001-01-06 07:04:31,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
