# file...... Inverter_solEngInverter.csv
# date...... Fri Feb 20 16:42:03 2015
# user...... dpinney
# host...... (null)
# target.... inverter 2024
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A,power_B,power_C
2014-01-04 15:00:00 PST,+194991+0j,+0+0i,+0+0i
2014-01-04 16:00:00 PST,+159418+0j,+0+0i,+0+0i
2014-01-04 17:00:00 PST,+112699+0j,+0+0i,+0+0i
2014-01-04 18:00:00 PST,+29464.5+0j,+0+0i,+0+0i
2014-01-04 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-04 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-04 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-04 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-04 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 06:00:00 PST,+10.5226+0j,+0+0i,+0+0i
2014-01-05 07:00:00 PST,+3606.4+0j,+0+0i,+0+0i
2014-01-05 08:00:00 PST,+52612.5+0j,+0+0i,+0+0i
2014-01-05 09:00:00 PST,+176667+0j,+0+0i,+0+0i
2014-01-05 10:00:00 PST,+246371+0j,+0+0i,+0+0i
2014-01-05 11:00:00 PST,+277702+0j,+0+0i,+0+0i
2014-01-05 12:00:00 PST,+292754+0j,+0+0i,+0+0i
2014-01-05 13:00:00 PST,+298058+0j,+0+0i,+0+0i
2014-01-05 14:00:00 PST,+300074+0j,+0+0i,+0+0i
2014-01-05 15:00:00 PST,+252573+0j,+0+0i,+0+0i
2014-01-05 16:00:00 PST,+135717+0j,+0+0i,+0+0i
2014-01-05 17:00:00 PST,+29160.1+0j,+0+0i,+0+0i
2014-01-05 18:00:00 PST,+7673.37+0j,+0+0i,+0+0i
2014-01-05 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-05 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 06:00:00 PST,+4.94887+0j,+0+0i,+0+0i
2014-01-06 07:00:00 PST,+2190.78+0j,+0+0i,+0+0i
2014-01-06 08:00:00 PST,+17889.5+0j,+0+0i,+0+0i
2014-01-06 09:00:00 PST,+104626+0j,+0+0i,+0+0i
2014-01-06 10:00:00 PST,+167550+0j,+0+0i,+0+0i
2014-01-06 11:00:00 PST,+176101+0j,+0+0i,+0+0i
2014-01-06 12:00:00 PST,+258280+0j,+0+0i,+0+0i
2014-01-06 13:00:00 PST,+182428+0j,+0+0i,+0+0i
2014-01-06 14:00:00 PST,+172498+0j,+0+0i,+0+0i
2014-01-06 15:00:00 PST,+101950+0j,+0+0i,+0+0i
2014-01-06 16:00:00 PST,+130782+0j,+0+0i,+0+0i
2014-01-06 17:00:00 PST,+89584.5+0j,+0+0i,+0+0i
2014-01-06 18:00:00 PST,+7819.58+0j,+0+0i,+0+0i
2014-01-06 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-06 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 01:00:00 PST,+0+0j,+0+0i,+0+0i
