# file...... xout_power_data.csv
# date...... Thu Apr 11 12:53:42 2019
# user...... dpinney
# host...... (null)
# target.... regulator 118
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,power_out.real, power_out.imag, power_losses.real
2017-01-01 00:00:00 EST,+752861,-315531,+5.82077e-11
2017-01-01 00:15:00 EST,+116312,+10469.9,+1.45519e-11
2017-01-01 00:30:00 EST,+116312,+10469.9,+1.45519e-11
2017-01-01 00:45:00 EST,+116312,+10469.9,+1.45519e-11
2017-01-01 01:00:00 EST,+116740,+8469.28,+2.18279e-11
2017-01-01 01:15:00 EST,+714469,+41153.1,+5.82077e-11
2017-01-01 01:30:00 EST,+714469,+41153.1,+5.82077e-11
2017-01-01 01:45:00 EST,+714469,+41153.1,+5.82077e-11
2017-01-01 02:00:00 EST,+709406,+54651.6,+5.82077e-11
2017-01-01 02:15:00 EST,+1.4466e+06,+90719.2,+1.74623e-10
2017-01-01 02:30:00 EST,+1.4466e+06,+90719.2,+1.74623e-10
2017-01-01 02:45:00 EST,+1.4466e+06,+90719.2,+1.74623e-10
2017-01-01 03:00:00 EST,+1.4326e+06,+122323,+1.16415e-10
2017-01-01 03:15:00 EST,+1.64152e+06,+116757,+1.16415e-10
2017-01-01 03:30:00 EST,+1.64152e+06,+116757,+1.16415e-10
2017-01-01 03:45:00 EST,+1.64152e+06,+116757,+1.16415e-10
2017-01-01 04:00:00 EST,+1.63727e+06,+127364,+2.32831e-10
2017-01-01 04:15:00 EST,+1.98745e+06,+118531,+2.91038e-10
2017-01-01 04:30:00 EST,+1.98745e+06,+118531,+2.91038e-10
2017-01-01 04:45:00 EST,+1.98745e+06,+118531,+2.91038e-10
2017-01-01 05:00:00 EST,+1.9836e+06,+146196,+0
2017-01-01 05:15:00 EST,+2.81914e+06,+180522,+2.32831e-10
2017-01-01 05:30:00 EST,+2.81914e+06,+180522,+2.32831e-10
2017-01-01 05:45:00 EST,+2.81914e+06,+180522,+2.32831e-10
2017-01-01 06:00:00 EST,+2.78274e+06,+246225,+1.16415e-10
2017-01-01 06:15:00 EST,+2.70037e+06,+234679,+2.32831e-10
2017-01-01 06:30:00 EST,+2.70037e+06,+234679,+2.32831e-10
2017-01-01 06:45:00 EST,+2.70037e+06,+234679,+2.32831e-10
2017-01-01 07:00:00 EST,+2.7215e+06,+240063,+3.49246e-10
2017-01-01 07:15:00 EST,+1.93426e+06,+159743,+3.49246e-10
2017-01-01 07:30:00 EST,+1.93426e+06,+159743,+3.49246e-10
2017-01-01 07:45:00 EST,+1.93426e+06,+159743,+3.49246e-10
2017-01-01 08:00:00 EST,+1.96846e+06,+171479,+2.32831e-10
2017-01-01 08:15:00 EST,+1.73458e+06,+113838,+2.32831e-10
2017-01-01 08:30:00 EST,+1.73458e+06,+113838,+2.32831e-10
2017-01-01 08:45:00 EST,+1.73458e+06,+113838,+2.32831e-10
2017-01-01 09:00:00 EST,+1.71953e+06,+121449,+2.32831e-10
2017-01-01 09:15:00 EST,+1.25037e+06,+93730.1,+1.74623e-10
2017-01-01 09:30:00 EST,+1.25037e+06,+93730.1,+1.74623e-10
2017-01-01 09:45:00 EST,+1.25037e+06,+93730.1,+1.74623e-10
2017-01-01 10:00:00 EST,+1.24911e+06,+94015,+2.32831e-10
2017-01-01 10:15:00 EST,+1.76615e+06,+103310,+2.32831e-10
2017-01-01 10:30:00 EST,+1.76615e+06,+103310,+2.32831e-10
2017-01-01 10:45:00 EST,+1.76615e+06,+103310,+2.32831e-10
2017-01-01 11:00:00 EST,+1.75315e+06,+129948,+2.32831e-10
2017-01-01 11:15:00 EST,+1.77664e+06,+112621,+1.74623e-10
2017-01-01 11:30:00 EST,+1.77664e+06,+112621,+1.74623e-10
2017-01-01 11:45:00 EST,+1.77664e+06,+112621,+1.74623e-10
2017-01-01 12:00:00 EST,+1.775e+06,+118636,+1.16415e-10
2017-01-01 12:15:00 EST,+1.8359e+06,+110041,+2.32831e-10
2017-01-01 12:30:00 EST,+1.8359e+06,+110041,+2.32831e-10
2017-01-01 12:45:00 EST,+1.8359e+06,+110041,+2.32831e-10
2017-01-01 13:00:00 EST,+1.8339e+06,+114554,+1.16415e-10
