Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"150", 4.16, 1,  0.0165689,   57.5, 6.8986E-6, 2, 0.00948831,  -92.8, 3.9505E-6, 3,  0.0113922, -172.7, 4.7432E-6
"150R", 4.16, 1,    0.02314,   57.4, 9.6345E-6, 2,  0.0132513,  -92.8, 5.5173E-6, 3,  0.0159103, -172.7, 6.6244E-6
"149", 4.16, 1,  0.0235321,   54.2, 9.7978E-6, 2,  0.0136596,  -87.3, 5.6873E-6, 3,   0.014683, -170.6, 6.1134E-6
"1", 4.16, 1,    8.17465,   56.9, 0.0034036, 2,     2.7326,  -94.2, 0.0011377, 3,    5.92301, -179.3, 0.0024661
"2", 4.16, 2,    2.88203,  -88.4,    0.0012, 0, 0, 0, 0, 0, 0, 0, 0
"3", 4.16, 3,     8.1023, -171.4, 0.0033735, 0, 0, 0, 0, 0, 0, 0, 0
"7", 4.16, 1,    14.0106,   54.1, 0.0058334, 2,    4.69444,  -91.7, 0.0019546, 3,    8.68522,  174.5, 0.0036162
"4", 4.16, 3,    8.80181, -169.7, 0.0036647, 0, 0, 0, 0, 0, 0, 0, 0
"5", 4.16, 3,    9.89908, -167.7, 0.0041216, 0, 0, 0, 0, 0, 0, 0, 0
"6", 4.16, 3,    10.8407, -166.2, 0.0045136, 0, 0, 0, 0, 0, 0, 0, 0
"8", 4.16, 1,     17.657,   52.8, 0.0073517, 2,    6.11055,  -91.2, 0.0025442, 3,    10.5811,  172.6, 0.0044055
"12", 4.16, 2,    6.34664,  -88.1, 0.0026425, 0, 0, 0, 0, 0, 0, 0, 0
"9", 4.16, 1,    19.6312,   55.0, 0.0081736, 0, 0, 0, 0, 0, 0, 0, 0
"13", 4.16, 1,    21.1779,   49.8, 0.0088176, 2,    8.80832,  -95.2, 0.0036674, 3,    13.7664,  172.7, 0.0057318
"9R", 4.16, 1,    19.6375,   55.0, 0.0081763, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    21.9168,   56.9, 0.0091252, 0, 0, 0, 0, 0, 0, 0, 0
"34", 4.16, 3,    15.0366,  175.1, 0.0062606, 0, 0, 0, 0, 0, 0, 0, 0
"18", 4.16, 1,    33.3533,   48.6,  0.013887, 2,    14.7762, -104.4, 0.0061522, 3,    21.3566,  159.3,  0.008892
"11", 4.16, 1,    22.8185,   57.6, 0.0095007, 0, 0, 0, 0, 0, 0, 0, 0
"10", 4.16, 1,    22.3641,   57.3, 0.0093115, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    15.5464,  175.9, 0.0064729, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    16.8343,  177.7, 0.0070091, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    16.1444,  176.8, 0.0067219, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    35.1516,   49.2,  0.014636, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,     34.976,   49.9,  0.014563, 2,    14.6826, -102.3, 0.0061132, 3,    22.7982,  161.3, 0.0094922
"20", 4.16, 1,    36.3178,   49.6,  0.015121, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    15.7481,  -95.9, 0.0065569, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,    36.3927,   51.1,  0.015152, 2,    14.2783, -103.1, 0.0059449, 3,    24.1734,  162.6,  0.010065
"24", 4.16, 3,    25.8419,  165.1,  0.010759, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,     38.192,   52.1,  0.015902, 2,    13.7784, -103.2, 0.0057368, 3,    25.0695,  162.7,  0.010438
"25R", 4.16, 1,     38.674,   52.2,  0.016102, 3,    25.0728,  162.7,  0.010439, 0, 0, 0, 0
"26", 4.16, 1,    39.4865,   52.6,  0.016441, 3,    25.7227,  163.5,   0.01071, 0, 0, 0, 0
"28", 4.16, 1,    39.1158,   52.5,  0.016286, 2,     13.523, -103.1, 0.0056304, 3,    25.3558,  162.6,  0.010557
"27", 4.16, 1,    40.2592,   52.7,  0.016762, 3,    25.6147,  163.1,  0.010665, 0, 0, 0, 0
"31", 4.16, 3,    26.4055,  164.5,  0.010994, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    42.0852,   52.9,  0.017523, 0, 0, 0, 0, 0, 0, 0, 0
"29", 4.16, 1,    39.6871,   53.0,  0.016524, 2,     13.364, -103.4, 0.0055642, 3,    25.9091,  163.0,  0.010787
