# file...... Capacitor_CAP134.csv
# date...... Wed Jun 05 11:34:40 2013
# user...... dwp0
# host...... (null)
# target.... capacitor 434
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,switchA,switchB,switchC
2012-06-07 15:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-07 16:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-07 17:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-07 18:00:00 PDT,OPEN,OPEN,OPEN
2012-06-07 19:00:00 PDT,OPEN,OPEN,OPEN
2012-06-07 20:00:00 PDT,OPEN,OPEN,OPEN
2012-06-07 21:00:00 PDT,OPEN,OPEN,OPEN
2012-06-07 22:00:00 PDT,OPEN,OPEN,OPEN
2012-06-07 23:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 00:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 01:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 02:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 03:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 04:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 05:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 06:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 07:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-08 08:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 09:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 10:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 11:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 12:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 13:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 14:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 15:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 16:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-08 17:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 18:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 19:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 20:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 21:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 22:00:00 PDT,OPEN,OPEN,OPEN
2012-06-08 23:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 00:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 01:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 02:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 03:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 04:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 05:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 06:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 07:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-09 08:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 09:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 10:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 11:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 12:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 13:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 14:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 15:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-09 16:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-09 17:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-09 18:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-09 19:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 20:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 21:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 22:00:00 PDT,OPEN,OPEN,OPEN
2012-06-09 23:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 00:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 01:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 02:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 03:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 04:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 05:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 06:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 07:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 08:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 09:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 10:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 11:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 12:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 13:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 14:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-10 15:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-10 16:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-10 17:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-10 18:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 19:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 20:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 21:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 22:00:00 PDT,OPEN,OPEN,OPEN
2012-06-10 23:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 00:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 01:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 02:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 03:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 04:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-11 05:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 06:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 07:00:00 PDT,OPEN,OPEN,CLOSED
2012-06-11 08:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 09:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 10:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 11:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 12:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 13:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 14:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 15:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 16:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 17:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 18:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 19:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 20:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 21:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 22:00:00 PDT,OPEN,OPEN,OPEN
2012-06-11 23:00:00 PDT,OPEN,OPEN,OPEN
2012-06-12 00:00:00 PDT,OPEN,OPEN,OPEN
2012-06-12 01:00:00 PDT,OPEN,OPEN,OPEN
2012-06-12 02:00:00 PDT,OPEN,OPEN,OPEN
2012-06-12 03:00:00 PDT,OPEN,OPEN,OPEN
