# file...... caliSubCheck.csv
# date...... Tue Feb 14 11:14:57 2017
# user...... brendanlewis
# host...... (null)
# target.... meter 0
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_power
2011-05-01 00:00:00 PDT,+1.94087e+06,+19260.1,+1.94097e+06+0.568552d
2011-05-01 01:00:00 PDT,+1.76291e+06,-55012.8,+1.76377e+06-1.78737d
2011-05-01 02:00:00 PDT,+1.68118e+06,-93726.2,+1.68379e+06-3.19095d
2011-05-01 03:00:00 PDT,+1.65458e+06,-112688,+1.65841e+06-3.8962d
2011-05-01 04:00:00 PDT,+1.61185e+06,-137179,+1.61768e+06-4.86451d
2011-05-01 05:00:00 PDT,+1.64747e+06,-134395,+1.65294e+06-4.6637d
2011-05-01 06:00:00 PDT,+1.73515e+06,-103791,+1.73825e+06-3.42319d
2011-05-01 07:00:00 PDT,+1.83956e+06,-66983.2,+1.84078e+06-2.08537d
2011-05-01 08:00:00 PDT,+1.93668e+06,-32388.2,+1.93695e+06-0.9581d
2011-05-01 09:00:00 PDT,+2.17219e+06,+52939.4,+2.17284e+06+1.3961d
2011-05-01 10:00:00 PDT,+2.36603e+06,+124701,+2.36931e+06+3.01697d
2011-05-01 11:00:00 PDT,+2.44108e+06,+152861,+2.44587e+06+3.5832d
2011-05-01 12:00:00 PDT,+2.41469e+06,+142935,+2.41892e+06+3.38761d
2011-05-01 13:00:00 PDT,+2.39523e+06,+135634,+2.39907e+06+3.241d
2011-05-01 14:00:00 PDT,+2.39245e+06,+134591,+2.39624e+06+3.21988d
2011-05-01 15:00:00 PDT,+2.21829e+06,+69881.5,+2.2194e+06+1.80435d
2011-05-01 16:00:00 PDT,+2.10224e+06,+27382.6,+2.10242e+06+0.746261d
2011-05-01 17:00:00 PDT,+2.06301e+06,+13130.7,+2.06306e+06+0.364671d
2011-05-01 18:00:00 PDT,+2.07423e+06,+17198.2,+2.0743e+06+0.47505d
2011-05-01 19:00:00 PDT,+2.14003e+06,+41166.3,+2.14043e+06+1.10203d
2011-05-01 20:00:00 PDT,+2.13443e+06,+39121.8,+2.13479e+06+1.05005d
2011-05-01 21:00:00 PDT,+2.19036e+06,+59606.5,+2.19117e+06+1.55881d
2011-05-01 22:00:00 PDT,+2.27968e+06,+92563,+2.28156e+06+2.32513d
2011-05-01 23:00:00 PDT,+2.23923e+06,+77602,+2.24058e+06+1.98483d
2011-05-02 00:00:00 PDT,+2.0518e+06,+9066.42,+2.05182e+06+0.253175d
2011-05-02 01:00:00 PDT,+1.90855e+06,-42442.8,+1.90902e+06-1.27395d
2011-05-02 02:00:00 PDT,+1.83251e+06,-69479.8,+1.83383e+06-2.17133d
2011-05-02 03:00:00 PDT,+1.81278e+06,-76463,+1.81439e+06-2.41531d
2011-05-02 04:00:00 PDT,+1.7761e+06,-89402.9,+1.77835e+06-2.88165d
2011-05-02 05:00:00 PDT,+1.80572e+06,-78954.5,+1.80745e+06-2.50364d
2011-05-02 06:00:00 PDT,+1.87477e+06,-54479.2,+1.87556e+06-1.6645d
2011-05-02 07:00:00 PDT,+2.07843e+06,+18724.5,+2.07851e+06+0.516161d
2011-05-02 08:00:00 PDT,+2.30895e+06,+103425,+2.31127e+06+2.56475d
2011-05-02 09:00:00 PDT,+2.40218e+06,+138240,+2.40616e+06+3.29361d
2011-05-02 10:00:00 PDT,+2.49243e+06,+172247,+2.49837e+06+3.95331d
2011-05-02 11:00:00 PDT,+2.53955e+06,+190125,+2.54666e+06+4.28149d
2011-05-02 12:00:00 PDT,+2.4508e+06,+156523,+2.4558e+06+3.65429d
2011-05-02 13:00:00 PDT,+2.4952e+06,+173297,+2.50121e+06+3.97292d
2011-05-02 14:00:00 PDT,+2.37716e+06,+128863,+2.38065e+06+3.1029d
2011-05-02 15:00:00 PDT,+2.41052e+06,+141370,+2.41467e+06+3.35638d
2011-05-02 16:00:00 PDT,+2.32009e+06,+107569,+2.32259e+06+2.65458d
2011-05-02 17:00:00 PDT,+2.33124e+06,+111717,+2.33391e+06+2.74362d
2011-05-02 18:00:00 PDT,+2.44247e+06,+153384,+2.44728e+06+3.59339d
2011-05-02 19:00:00 PDT,+2.36742e+06,+125221,+2.37073e+06+3.02775d
2011-05-02 20:00:00 PDT,+2.32567e+06,+109643,+2.32825e+06+2.6992d
2011-05-02 21:00:00 PDT,+2.4272e+06,+147635,+2.43168e+06+3.48074d
2011-05-02 22:00:00 PDT,+2.52154e+06,+183282,+2.52819e+06+4.15731d
2011-05-02 23:00:00 PDT,+2.39801e+06,+136676,+2.40191e+06+3.26207d
2011-05-03 00:00:00 PDT,+2.10364e+06,+27892.4,+2.10383e+06+0.759647d
2011-05-03 01:00:00 PDT,+1.93527e+06,-32891.4,+1.93555e+06-0.973691d
2011-05-03 02:00:00 PDT,+1.81842e+06,-74469,+1.81994e+06-2.3451d
2011-05-03 03:00:00 PDT,+1.81701e+06,-74967.6,+1.81855e+06-2.36262d
2011-05-03 04:00:00 PDT,+1.80713e+06,-78456.2,+1.80884e+06-2.48592d
2011-05-03 05:00:00 PDT,+1.81137e+06,-76961.4,+1.813e+06-2.43292d
2011-05-03 06:00:00 PDT,+1.85928e+06,-59985.3,+1.86025e+06-1.84787d
2011-05-03 07:00:00 PDT,+2.10084e+06,+26872.9,+2.10101e+06+0.732859d
2011-05-03 08:00:00 PDT,+2.39245e+06,+134591,+2.39624e+06+3.21988d
2011-05-03 09:00:00 PDT,+2.47995e+06,+167525,+2.4856e+06+3.86456d
2011-05-03 10:00:00 PDT,+2.45358e+06,+157570,+2.45863e+06+3.67451d
2011-05-03 11:00:00 PDT,+2.46746e+06,+162807,+2.47282e+06+3.77499d
2011-05-03 12:00:00 PDT,+2.35072e+06,+118984,+2.35373e+06+2.89761d
2011-05-03 13:00:00 PDT,+2.32567e+06,+109643,+2.32825e+06+2.6992d
2011-05-03 14:00:00 PDT,+2.27411e+06,+90496.7,+2.27591e+06+2.27885d
2011-05-03 15:00:00 PDT,+2.29362e+06,+97732.4,+2.2957e+06+2.43993d
2011-05-03 16:00:00 PDT,+2.22807e+06,+73482.9,+2.22928e+06+1.88896d
2011-05-03 17:00:00 PDT,+2.24482e+06,+79662.8,+2.24623e+06+2.03243d
2011-05-03 18:00:00 PDT,+2.31592e+06,+106015,+2.31834e+06+2.62098d
2011-05-03 19:00:00 PDT,+2.26853e+06,+88431.2,+2.27025e+06+2.23236d
2011-05-03 20:00:00 PDT,+2.23923e+06,+77602.1,+2.24058e+06+1.98483d
2011-05-03 21:00:00 PDT,+2.21131e+06,+67310.8,+2.21234e+06+1.7435d
2011-05-03 22:00:00 PDT,+2.42858e+06,+148157,+2.4331e+06+3.49103d
2011-05-03 23:00:00 PDT,+2.38689e+06,+132508,+2.39057e+06+3.1775d
2011-05-04 00:00:00 PDT,+2.15681e+06,+47305.2,+2.15733e+06+1.25646d
2011-05-04 01:00:00 PDT,+1.97181e+06,-19788.8,+1.97191e+06-0.574992d
2011-05-04 02:00:00 PDT,+1.90011e+06,-45454.9,+1.90065e+06-1.37038d
2011-05-04 03:00:00 PDT,+1.879e+06,-52976.4,+1.87974e+06-1.61497d
2011-05-04 04:00:00 PDT,+1.8804e+06,-52475.3,+1.88114e+06-1.5985d
2011-05-04 05:00:00 PDT,+1.90996e+06,-41940.7,+1.91042e+06-1.25795d
2011-05-04 06:00:00 PDT,+2.00691e+06,-7154.98,+2.00693e+06-0.204268d
2011-05-04 07:00:00 PDT,+2.25179e+06,+82240.2,+2.25329e+06+2.09163d
2011-05-04 08:00:00 PDT,+2.56033e+06,+198032,+2.56797e+06+4.42282d
2011-05-04 09:00:00 PDT,+2.5714e+06,+202254,+2.57934e+06+4.49735d
2011-05-04 10:00:00 PDT,+2.51323e+06,+180127,+2.51967e+06+4.09946d
2011-05-04 11:00:00 PDT,+2.36046e+06,+122621,+2.36365e+06+2.97373d
2011-05-04 12:00:00 PDT,+2.22667e+06,+72968.2,+2.22787e+06+1.87692d
2011-05-04 13:00:00 PDT,+2.17778e+06,+54989.8,+2.17848e+06+1.44643d
2011-05-04 14:00:00 PDT,+2.07703e+06,+18215.7,+2.07711e+06+0.502474d
2011-05-04 15:00:00 PDT,+2.02796e+06,+441.798,+2.02796e+06+0.0124821d
2011-05-04 16:00:00 PDT,+1.95636e+06,-25336.8,+1.95652e+06-0.741996d
2011-05-04 17:00:00 PDT,+1.95917e+06,-24328.5,+1.95932e+06-0.71145d
2011-05-04 18:00:00 PDT,+2.03638e+06,+3483.97,+2.03638e+06+0.0980255d
2011-05-04 19:00:00 PDT,+2.04479e+06,+6528.1,+2.0448e+06+0.182919d
2011-05-04 20:00:00 PDT,+1.98305e+06,-15749.7,+1.98311e+06-0.455044d
2011-05-04 21:00:00 PDT,+1.99849e+06,-10190.3,+1.99852e+06-0.292147d
2011-05-04 22:00:00 PDT,+2.18757e+06,+58580.2,+2.18835e+06+1.53394d
2011-05-04 23:00:00 PDT,+2.13024e+06,+37588.9,+2.13057e+06+1.0109d
2011-05-05 00:00:00 PDT,+1.91559e+06,-39931.2,+1.916e+06-1.19418d
2011-05-05 01:00:00 PDT,+1.7408e+06,-101810,+1.74377e+06-3.3471d
2011-05-05 02:00:00 PDT,+1.65879e+06,-130459,+1.66391e+06-4.49688d
2011-05-05 03:00:00 PDT,+1.61347e+06,-146184,+1.62008e+06-5.17699d
2011-05-05 04:00:00 PDT,+1.62056e+06,-143731,+1.62692e+06-5.06843d
2011-05-05 05:00:00 PDT,+1.66304e+06,-128982,+1.66803e+06-4.43486d
2011-05-05 06:00:00 PDT,+1.72384e+06,-107753,+1.72721e+06-3.57674d
2011-05-05 07:00:00 PDT,+1.94933e+06,-27856.4,+1.94953e+06-0.818714d
2011-05-05 08:00:00 PDT,+2.24761e+06,+80693.7,+2.24905e+06+2.05615d
2011-05-05 09:00:00 PDT,+2.34098e+06,+115349,+2.34382e+06+2.82091d
2011-05-05 10:00:00 PDT,+2.37716e+06,+128863,+2.38065e+06+3.1029d
2011-05-05 11:00:00 PDT,+2.37159e+06,+126782,+2.37498e+06+3.06003d
2011-05-05 12:00:00 PDT,+2.32706e+06,+110161,+2.32966e+06+2.71032d
2011-05-05 13:00:00 PDT,+2.30198e+06,+100837,+2.30419e+06+2.5082d
2011-05-05 14:00:00 PDT,+2.22388e+06,+71939.1,+2.22504e+06+1.85278d
2011-05-05 15:00:00 PDT,+2.168e+06,+51402.1,+2.16861e+06+1.3582d
2011-05-05 16:00:00 PDT,+2.10784e+06,+29422.1,+2.10805e+06+0.799707d
