# file...... xout_power_data.csv
# date...... Sat Jun 22 15:38:16 2019
# user...... austinchang
# host...... (null)
# target.... regulator 118
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,power_out.real, power_out.imag, power_losses.real
2017-01-01 00:00:00 EST,+679782,-319743,+2.91038e-11
2017-01-01 00:15:00 EST,+63647.5,+1274.75,+1.45519e-11
2017-01-01 00:30:00 EST,+63647.5,+1274.75,+1.45519e-11
2017-01-01 00:45:00 EST,+63647.5,+1274.75,+1.45519e-11
2017-01-01 01:00:00 EST,+63992,+197.558,+1.81899e-12
2017-01-01 01:15:00 EST,+81985.3,+120.071,+7.27596e-12
2017-01-01 01:30:00 EST,+81985.3,+120.071,+7.27596e-12
2017-01-01 01:45:00 EST,+81985.3,+120.071,+7.27596e-12
2017-01-01 02:00:00 EST,+81919.9,+241.916,+3.63798e-12
2017-01-01 02:15:00 EST,+340348,+67934.6,+4.36557e-11
2017-01-01 02:30:00 EST,+340348,+67934.6,+4.36557e-11
2017-01-01 02:45:00 EST,+340348,+67934.6,+4.36557e-11
2017-01-01 03:00:00 EST,+340353,+70500.4,+4.36557e-11
2017-01-01 03:15:00 EST,+836451,+79581.5,+1.16415e-10
2017-01-01 03:30:00 EST,+836451,+79581.5,+1.16415e-10
2017-01-01 03:45:00 EST,+836451,+79581.5,+1.16415e-10
2017-01-01 04:00:00 EST,+831971,+93470.1,+5.82077e-11
2017-01-01 04:15:00 EST,+1.33775e+06,+111681,+1.74623e-10
2017-01-01 04:30:00 EST,+1.33775e+06,+111681,+1.74623e-10
2017-01-01 04:45:00 EST,+1.33775e+06,+111681,+1.74623e-10
2017-01-01 05:00:00 EST,+1.35323e+06,+141188,+1.74623e-10
2017-01-01 05:15:00 EST,+2.54236e+06,+139268,+1.16415e-10
2017-01-01 05:30:00 EST,+2.54236e+06,+139268,+1.16415e-10
2017-01-01 05:45:00 EST,+2.54236e+06,+139268,+1.16415e-10
2017-01-01 06:00:00 EST,+2.5006e+06,+227971,+2.32831e-10
2017-01-01 06:15:00 EST,+2.62543e+06,+209546,+2.32831e-10
2017-01-01 06:30:00 EST,+2.62543e+06,+209546,+2.32831e-10
2017-01-01 06:45:00 EST,+2.62543e+06,+209546,+2.32831e-10
2017-01-01 07:00:00 EST,+2.63469e+06,+229589,+2.32831e-10
2017-01-01 07:15:00 EST,+1.59279e+06,+128359,+3.49246e-10
2017-01-01 07:30:00 EST,+1.59279e+06,+128359,+3.49246e-10
2017-01-01 07:45:00 EST,+1.59279e+06,+128359,+3.49246e-10
2017-01-01 08:00:00 EST,+1.61466e+06,+127964,+2.91038e-10
2017-01-01 08:15:00 EST,+878136,+65903.6,+2.91038e-11
2017-01-01 08:30:00 EST,+878136,+65903.6,+2.91038e-11
2017-01-01 08:45:00 EST,+878136,+65903.6,+2.91038e-11
2017-01-01 09:00:00 EST,+884316,+55420.6,+1.74623e-10
2017-01-01 09:15:00 EST,+726892,+59661.3,+8.73115e-11
2017-01-01 09:30:00 EST,+726892,+59661.3,+8.73115e-11
2017-01-01 09:45:00 EST,+726892,+59661.3,+8.73115e-11
2017-01-01 10:00:00 EST,+721194,+71765.1,+5.82077e-11
2017-01-01 10:15:00 EST,+737214,+51525.1,+5.82077e-11
2017-01-01 10:30:00 EST,+737214,+51525.1,+5.82077e-11
2017-01-01 10:45:00 EST,+737214,+51525.1,+5.82077e-11
2017-01-01 11:00:00 EST,+729384,+63920.6,+1.16415e-10
2017-01-01 11:15:00 EST,+1.57643e+06,+82906.7,+0
2017-01-01 11:30:00 EST,+1.57643e+06,+82906.7,+0
2017-01-01 11:45:00 EST,+1.57643e+06,+82906.7,+0
2017-01-01 12:00:00 EST,+1.55684e+06,+123084,+1.16415e-10
2017-01-01 12:15:00 EST,+727708,+63246.9,+2.91038e-11
2017-01-01 12:30:00 EST,+727708,+63246.9,+2.91038e-11
2017-01-01 12:45:00 EST,+727708,+63246.9,+2.91038e-11
2017-01-01 13:00:00 EST,+731886,+55651.4,+5.82077e-11
2017-01-01 13:15:00 EST,+1.60262e+06,+91347.1,+5.82077e-11
2017-01-01 13:30:00 EST,+1.60262e+06,+91347.1,+5.82077e-11
2017-01-01 13:45:00 EST,+1.60262e+06,+91347.1,+5.82077e-11
2017-01-01 14:00:00 EST,+1.58375e+06,+130833,+5.82077e-11
2017-01-01 14:15:00 EST,+890932,+78366.2,+5.82077e-11
2017-01-01 14:30:00 EST,+890932,+78366.2,+5.82077e-11
2017-01-01 14:45:00 EST,+890932,+78366.2,+5.82077e-11
2017-01-01 15:00:00 EST,+894418,+70858,+0
2017-01-01 15:15:00 EST,+1.20175e+06,+102752,+0
2017-01-01 15:30:00 EST,+1.20175e+06,+102752,+0
2017-01-01 15:45:00 EST,+1.20175e+06,+102752,+0
