# voltDump.csv run at 2000-01-01 00:00:00 UTC on 72 nodes,
node_name,avg_3phase_voltage
load838b,2731.5631788509
node799,2771.2812920551
node781,2834.76365974072
node702,2789.84225883671
node702b,2789.84062121648
node703,2775.72213047253
node703b,2775.72132206149
node704,2783.39738389711
node704b,2783.39627300574
node705,2787.82422758182
node706,2778.5376232302
node707,2775.20257027668
node708,2755.9242376984
node708b,2755.92143651279
node709,2761.30800934626
node710,2740.28732315291
node711,2728.8766454424
load801,2804.91151893005
load801a,2804.91151893005
load812,2786.92541263981
load812a,2786.92541263981
load813,2786.74299863631
load813a,2786.74299863631
load814,2783.23530218012
load814a,2783.23530218012
load818,2782.61674335585
load818a,2782.61674335585
load820,2779.11956482648
load820a,2779.11956482648
load822,2774.76190264881
load822a,2774.76190264881
load824,2774.7598758965
load824a,2774.7598758965
load825,2778.05593209954
load825a,2778.05593209954
load827,2773.37065414823
load827a,2773.37065414823
load828,2771.06750218271
load828a,2771.06750218271
load829,2771.86866256846
load829a,2771.86866256846
load830,2764.81092819213
load830b,2764.81092819213
load831,2760.90710250429
load831a,2760.90710250429
load832,2755.31968829596
load832a,2755.31968829596
load833,2750.89207321843
load833a,2750.89207321843
load834,2742.58633547456
load834b,2742.58587423803
load834a,2742.58587423803
load835,2739.52212446089
load835a,2739.52212446089
load836,2739.52794404981
load836a,2739.52794404981
load837,2735.43765607852
load837a,2735.43765607852
load838,2731.56419530884
load838a,2731.56419530884
load840,2728.11071227441
load840a,2728.11071227441
load841,2727.09755226876
load841a,2727.09755226876
load842,2787.4084832203
load842a,2787.4084832203
load844,2772.12626364598
load844a,2772.12626364598
load830a,2764.80790828633
node775,276.130801286494
trip_node,45.5341792099727
trip_load_node,45.2726435706755
