Meter ID    ,Date / Time           ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,V2(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  
470284,1/1/2011 1:00,1791.6,0,N/A           ,1791.6,1
470284,1/1/2011 2:00,1688.4,0,N/A           ,1688.4,1
470284,1/1/2011 3:00,1639.2,0,N/A           ,1639.2,1
470284,1/1/2011 4:00,1639.8,0,N/A           ,1639.8,1
470284,1/1/2011 5:00,1700.7,0,N/A           ,1700.7,1
470284,1/1/2011 6:00,1780.5,0,N/A           ,1780.5,1
470284,1/1/2011 7:00,1909.5,0,N/A           ,1909.5,1
470284,1/1/2011 8:00,2119.2,0,N/A           ,2119.2,1
470284,1/1/2011 9:00,2372.4,0,N/A           ,2372.4,1
470284,1/1/2011 10:00,2649.6,0,N/A           ,2649.6,1
470284,1/1/2011 11:00,2679.9,0,N/A           ,2679.9,1
470284,1/1/2011 12:00,2656.2,0,N/A           ,2656.2,1
470284,1/1/2011 13:00,2607,0,N/A           ,2607,1
470284,1/1/2011 14:00,2517.9,0,N/A           ,2517.9,1
470284,1/1/2011 15:00,2512.5,0,N/A           ,2512.5,1
470284,1/1/2011 16:00,2540.7,0,N/A           ,2540.7,1
470284,1/1/2011 17:00,2753.1,0,N/A           ,2753.1,1
470284,1/1/2011 18:00,3009.6,0,N/A           ,3009.6,1
470284,1/1/2011 19:00,2972.1,0,N/A           ,2972.1,1
470284,1/1/2011 20:00,2917.2,0,N/A           ,2917.2,1
470284,1/1/2011 21:00,2838,0,N/A           ,2838,1
470284,1/1/2011 22:00,2695.2,0,N/A           ,2695.2,1
470284,1/1/2011 23:00,2487.9,0,N/A           ,2487.9,1
470284,1/2/2011 0:00,2273.1,0,N/A           ,2273.1,1
470284,1/2/2011 1:00,2156.7,0,N/A           ,2156.7,1
470284,1/2/2011 2:00,2120.1,0,N/A           ,2120.1,1
470284,1/2/2011 3:00,2055.3,0,N/A           ,2055.3,1
470284,1/2/2011 4:00,2071.5,0,N/A           ,2071.5,1
470284,1/2/2011 5:00,2070.6,0,N/A           ,2070.6,1
470284,1/2/2011 6:00,2145,0,N/A           ,2145,1
470284,1/2/2011 7:00,2229.6,0,N/A           ,2229.6,1
470284,1/2/2011 8:00,2441.4,0,N/A           ,2441.4,1
470284,1/2/2011 9:00,2600.4,0,N/A           ,2600.4,1
470284,1/2/2011 10:00,2679.3,0,N/A           ,2679.3,1
470284,1/2/2011 11:00,2643.3,0,N/A           ,2643.3,1
470284,1/2/2011 12:00,2572.8,0,N/A           ,2572.8,1
470284,1/2/2011 13:00,2423.7,0,N/A           ,2423.7,1
470284,1/2/2011 14:00,2399.4,0,N/A           ,2399.4,1
470284,1/2/2011 15:00,2350.5,0,N/A           ,2350.5,1
470284,1/2/2011 16:00,2352,0,N/A           ,2352,1
470284,1/2/2011 17:00,2501.7,0,N/A           ,2501.7,1
470284,1/2/2011 18:00,2668.8,0,N/A           ,2668.8,1
470284,1/2/2011 19:00,2696.1,0,N/A           ,2696.1,1
470284,1/2/2011 20:00,2713.5,0,N/A           ,2713.5,1
470284,1/2/2011 21:00,2532,0,N/A           ,2532,1
470284,1/2/2011 22:00,2417.1,0,N/A           ,2417.1,1
470284,1/2/2011 23:00,2155.8,0,N/A           ,2155.8,1
470284,1/3/2011 0:00,1933.5,0,N/A           ,1933.5,1
470284,1/3/2011 1:00,1818,0,N/A           ,1818,1
470284,1/3/2011 2:00,1779.6,0,N/A           ,1779.6,1
470284,1/3/2011 3:00,1767.6,0,N/A           ,1767.6,1
470284,1/3/2011 4:00,1775.4,0,N/A           ,1775.4,1
470284,1/3/2011 5:00,1821,0,N/A           ,1821,1
470284,1/3/2011 6:00,1953.3,0,N/A           ,1953.3,1
470284,1/3/2011 7:00,2209.5,0,N/A           ,2209.5,1
470284,1/3/2011 8:00,2156.7,0,N/A           ,2156.7,1
470284,1/3/2011 9:00,2166.6,0,N/A           ,2166.6,1
470284,1/3/2011 10:00,2131.2,0,N/A           ,2131.2,1
470284,1/3/2011 11:00,2099.4,0,N/A           ,2099.4,1
470284,1/3/2011 12:00,2136,0,N/A           ,2136,1
470284,1/3/2011 13:00,2056.8,0,N/A           ,2056.8,1
470284,1/3/2011 14:00,2031.9,0,N/A           ,2031.9,1
470284,1/3/2011 15:00,1974.6,0,N/A           ,1974.6,1
470284,1/3/2011 16:00,2013.3,0,N/A           ,2013.3,1
470284,1/3/2011 17:00,2282.7,0,N/A           ,2282.7,1
470284,1/3/2011 18:00,2508,0,N/A           ,2508,1
470284,1/3/2011 19:00,2524.5,0,N/A           ,2524.5,1
470284,1/3/2011 20:00,2439,0,N/A           ,2439,1
470284,1/3/2011 21:00,2382.9,0,N/A           ,2382.9,1
470284,1/3/2011 22:00,2194.5,0,N/A           ,2194.5,1
470284,1/3/2011 23:00,1943.7,0,N/A           ,1943.7,1
470284,1/4/2011 0:00,1776.3,0,N/A           ,1776.3,1
470284,1/4/2011 1:00,1697.4,0,N/A           ,1697.4,1
470284,1/4/2011 2:00,1655.1,0,N/A           ,1655.1,1
470284,1/4/2011 3:00,1650.3,0,N/A           ,1650.3,1
470284,1/4/2011 4:00,1670.4,0,N/A           ,1670.4,1
470284,1/4/2011 5:00,1739.4,0,N/A           ,1739.4,1
470284,1/4/2011 6:00,1867.8,0,N/A           ,1867.8,1
470284,1/4/2011 7:00,2115.3,0,N/A           ,2115.3,1
470284,1/4/2011 8:00,2154.3,0,N/A           ,2154.3,1
470284,1/4/2011 9:00,2104.5,0,N/A           ,2104.5,1
470284,1/4/2011 10:00,2052.9,0,N/A           ,2052.9,1
470284,1/4/2011 11:00,2024.7,0,N/A           ,2024.7,1
470284,1/4/2011 12:00,2004.6,0,N/A           ,2004.6,1
