# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links,,,,,,,
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag,avg_real_curr
19935,8.255271,13.877493,11.783645,-7.391316,-26.910699,19.479046,-2.290594
T62463020670,0,0,-0.007883,-0.012283,0,0,-0.00262766666666667
19597,8.255271,13.877493,11.791529,-7.379032,-26.910699,19.479046,-2.287966
19852,8.255271,13.877493,11.829046,-7.318126,-26.910699,19.479046,-2.275461
T62463019414,0.014559,-0.000711,0,0,0,0,0.004853
19850,0,0,0,0,-0.10458,0.184232,-0.03486
F7573,0,0,0,0,-0.10458,0.184232,-0.03486
19851,0,0,0,0,-0.10458,0.184232,-0.03486
T62463019467,0,0,0,0,-0.10458,0.184232,-0.03486
19848,0,0,0,0,-0.812661,1.424869,-0.270887
F7944,0,0,0,0,-0.812661,1.424869,-0.270887
19849,0,0,0,0,-0.812661,1.424869,-0.270887
19592,0,0,0,0,-0.812661,1.424869,-0.270887
19964,0,0,0,0,-0.812661,1.424869,-0.270887
T62463022289,0,0,0,0,-0.11398,0.200695,-0.0379933333333333
20061,0,0,0,0,-0.698681,1.224174,-0.232893666666667
20132,0,0,0,0,-0.698681,1.224174,-0.232893666666667
T62463024257,0,0,0,0,-0.698681,1.224174,-0.232893666666667
19837,0.301569,-0.010756,0,0,0,0,0.100523
F7582,0.301569,-0.010756,0,0,0,0,0.100523
19770,0.301569,-0.010756,0,0,0,0,0.100523
T62463017479,0.014559,-0.000711,0,0,0,0,0.004853
19750,0.028423,-0.000726,0,0,0,0,0.00947433333333333
T62463017451,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19583,0.258587,-0.009319,0,0,0,0,0.0861956666666667
T62463015557,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19342,0.029118,-0.001422,0,0,0,0,0.009706
T62463013576,0.014559,-0.000711,0,0,0,0,0.004853
19399,0.014559,-0.000711,0,0,0,0,0.004853
T62463012540,0.014559,-0.000711,0,0,0,0,0.004853
19584,0.201046,-0.007171,0,0,0,0,0.0670153333333333
19483,0.042982,-0.001437,0,0,0,0,0.0143273333333333
T62463014734,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19474,0.014559,-0.000711,0,0,0,0,0.004853
T62463013737,0.014559,-0.000711,0,0,0,0,0.004853
18573,0.143506,-0.005023,0,0,0,0,0.0478353333333333
T62463016837,0.014559,-0.000711,0,0,0,0,0.004853
19688,0.128947,-0.004312,0,0,0,0,0.0429823333333333
T62474196023,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19558,0.100523,-0.003586,0,0,0,0,0.0335076666666667
