Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUSSOURCE", 46, 1,    26558.3,    0.0,         1, 2,    26558.3, -120.0,         1, 3,    26558.5,  120.0,         1
"MDV_SUB_1_HSB", 46, 1,    26558.3,    0.0,         1, 2,    26558.3, -120.0,         1, 3,    26558.5,  120.0,         1
"FEEDERHEADBUS", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM1", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM2", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM3", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM4", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM5", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM6", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM7", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM8", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM9", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM10", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM11", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSPRIM12", 12.47, 1,    7199.64,  -30.0,         1, 2,    7199.64, -150.0,         1, 3,    7199.62,   90.0,         1
"BUSTRAFO1LV", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC1_1", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC1_2", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC1_3", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC1_4", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC1_5", 0.41569, 1,    240.003,  -30.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSTRAFO2LV", 0.41569, 2,    240.003, -150.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC2_1", 0.41569, 2,    240.003, -150.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSTRAFO3LV", 0.41569, 3,    240.002,   90.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC3_1", 0.41569, 3,    240.002,   90.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC3_2", 0.41569, 3,    240.002,   90.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC3_3", 0.41569, 3,    240.002,   90.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"BUSSEC3_4", 0.41569, 3,    240.002,   90.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
