# file...... Windmill_windturb_dg172821.csv
# date...... Thu May  7 16:06:49 2015
# user...... dpinney
# host...... (null)
# target.... windturb_dg 2271
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,current_A.real,current_A.imag,current_B.real,current_B.imag,current_C.real,current_C.imag
2014-07-30 00:00:00 PDT,+7200.03,-0.0946612,-3600.06,-6235.42,-3599.95,+6235.44,-0.00568394,+0.00177489,+0.00437903,+0.00403503,+0.00130489,-0.00580988
2014-07-30 01:00:00 PDT,+7199.98,-0.0508536,-3600.01,-6235.38,-3599.96,+6235.37,-0.0726693,+0.0226915,+0.0559858,+0.051588,+0.0166834,-0.0742792
2014-07-30 02:00:00 PDT,+7199.98,-0.0464257,-3600.01,-6235.38,-3599.96,+6235.37,-0.111968,+0.0349627,+0.0862621,+0.0794861,+0.0257056,-0.114448
2014-07-30 03:00:00 PDT,+7199.98,-0.0454717,-3600.01,-6235.38,-3599.96,+6235.37,-0.0213959,+0.00668101,+0.0164838,+0.0151889,+0.00491207,-0.0218699
2014-07-30 04:00:00 PDT,+7199.97,-0.0935651,-3600.01,-6235.38,-3599.9,+6235.37,-0.0728227,+0.0227399,+0.0561041,+0.051697,+0.0167182,-0.0744362
2014-07-30 05:00:00 PDT,+7199.97,-0.0935651,-3600.01,-6235.38,-3599.9,+6235.37,-0.0728227,+0.0227399,+0.0561041,+0.051697,+0.0167182,-0.0744362
2014-07-30 06:00:00 PDT,+7199.99,-0.0843724,-3600,-6235.38,-3599.87,+6235.37,-0.021441,+0.00669524,+0.0165186,+0.0152211,+0.0049222,-0.0219161
2014-07-30 07:00:00 PDT,+7199.96,-0.176479,-3599.99,-6235.42,-3599.84,+6235.34,-0.00569396,+0.00177809,+0.00438674,+0.00404219,+0.00130716,-0.00582015
2014-07-30 08:00:00 PDT,+7199.98,-0.0722529,-3600.01,-6235.38,-3599.93,+6235.37,-0.111772,+0.0349019,+0.086111,+0.0793469,+0.0256602,-0.114248
2014-07-30 09:00:00 PDT,+7199.98,-0.0681372,-3600.01,-6235.38,-3599.94,+6235.37,-0.0427043,+0.0133349,+0.0329003,+0.0303159,+0.00980396,-0.0436504
2014-07-30 10:00:00 PDT,+7199.98,-0.0813602,-3600.01,-6235.39,-3599.93,+6235.37,-0.161293,+0.0503659,+0.124264,+0.114503,+0.0370293,-0.164867
2014-07-30 11:00:00 PDT,+7199.96,-0.0859778,-3600.03,-6235.37,-3599.94,+6235.37,-0.0426147,+0.013307,+0.0328313,+0.0302522,+0.0097834,-0.0435589
2014-07-30 12:00:00 PDT,+7199.98,-0.0854536,-3600.01,-6235.38,-3599.91,+6235.37,-0.160674,+0.0501726,+0.123787,+0.114063,+0.0368866,-0.164234
2014-07-30 13:00:00 PDT,+7199.96,-0.0922053,-3600.02,-6235.38,-3599.94,+6235.37,-0.0425403,+0.0132838,+0.032774,+0.0301994,+0.00976635,-0.0434828
2014-07-30 14:00:00 PDT,+7199.96,-0.0922053,-3600.02,-6235.38,-3599.94,+6235.37,-0.0423776,+0.013233,+0.0326486,+0.0300839,+0.00972899,-0.0433165
2014-07-30 15:00:00 PDT,+7199.97,-0.0956571,-3600.01,-6235.39,-3599.93,+6235.36,-0.00561147,+0.00175226,+0.00432319,+0.0039836,+0.00128826,-0.0057358
2014-07-30 16:00:00 PDT,+7199.96,-0.0977899,-3600.03,-6235.38,-3599.94,+6235.36,-0.0422015,+0.013178,+0.032513,+0.0299589,+0.00968856,-0.0431365
2014-07-30 17:00:00 PDT,+7199.97,-0.0936345,-3600.02,-6235.39,-3599.92,+6235.37,-0.110686,+0.0345631,+0.0852744,+0.0785759,+0.0254108,-0.113138
2014-07-30 18:00:00 PDT,+7199.98,-0.0816258,-3600.01,-6235.38,-3599.91,+6235.37,-0.0425404,+0.0132838,+0.032774,+0.0301995,+0.00976616,-0.0434829
2014-07-30 19:00:00 PDT,+7199.96,-0.101921,-3600.02,-6235.39,-3599.94,+6235.36,-0.0724618,+0.0226273,+0.0558261,+0.0514408,+0.0166356,-0.0740673
2014-07-30 20:00:00 PDT,+7199.97,-0.0862317,-3600.02,-6235.37,-3599.92,+6235.37,-0.0213348,+0.00666207,+0.0164368,+0.0151456,+0.00489794,-0.0218075
2014-07-30 21:00:00 PDT,+7199.97,-0.0962808,-3600.02,-6235.38,-3599.92,+6235.37,-0.0427469,+0.0133483,+0.0329331,+0.0303461,+0.00981364,-0.043694
2014-07-30 22:00:00 PDT,+7199.96,-0.101809,-3600.03,-6235.38,-3599.92,+6235.37,-0.111994,+0.0349719,+0.0862828,+0.0795048,+0.0257112,-0.114476
2014-07-30 23:00:00 PDT,+7199.97,-0.127332,-3600,-6235.39,-3599.86,+6235.36,-0.221983,+0.0693183,+0.17102,+0.157586,+0.0509605,-0.226902
2014-07-31 00:00:00 PDT,+7199.97,-0.0620229,-3600.03,-6235.36,-3599.95,+6235.38,-0.275199,+0.0859334,+0.212018,+0.195362,+0.0631798,-0.281296
2014-07-31 01:00:00 PDT,+7199.97,-0.0620229,-3600.03,-6235.36,-3599.95,+6235.38,-0.275199,+0.0859334,+0.212018,+0.195362,+0.0631798,-0.281296
2014-07-31 02:00:00 PDT,+7199.98,-0.0557342,-3600.01,-6235.39,-3599.96,+6235.37,-0.112106,+0.0350059,+0.0863682,+0.0795839,+0.0257371,-0.114589
2014-07-31 03:00:00 PDT,+7199.98,-0.120221,-3599.99,-6235.39,-3599.83,+6235.37,-0.0214598,+0.00670122,+0.016533,+0.0152344,+0.00492643,-0.0219354
2014-07-31 04:00:00 PDT,+7199.91,-0.259052,-3600.03,-6235.41,-3599.82,+6235.32,-0.00571664,+0.00178525,+0.00440426,+0.00405828,+0.00131236,-0.00584336
2014-07-31 05:00:00 PDT,+7199.91,-0.259052,-3600.03,-6235.41,-3599.82,+6235.32,-0.00572232,+0.00178702,+0.00440862,+0.00406231,+0.00131366,-0.00584916
2014-07-31 06:00:00 PDT,+7199.91,-0.185805,-3600.05,-6235.39,-3599.91,+6235.34,-0.00571229,+0.00178382,+0.0044009,+0.00405517,+0.00131142,-0.00583888
2014-07-31 07:00:00 PDT,+7199.99,-0.0587175,-3600,-6235.38,-3599.92,+6235.38,+0,+0,+0,+0,+0,+0
2014-07-31 08:00:00 PDT,+7199.97,-0.0660536,-3600.01,-6235.38,-3599.95,+6235.37,-0.021486,+0.00670922,+0.0165533,+0.0152529,+0.00493274,-0.021962
2014-07-31 09:00:00 PDT,+7199.97,-0.0660536,-3600.01,-6235.38,-3599.95,+6235.37,-0.021486,+0.00670922,+0.0165533,+0.0152529,+0.00493274,-0.021962
