# file...... Windmill_utilOwnedWind.csv
# date...... Mon Jun  6 13:46:09 2016
# user...... samsung
# host...... (null)
# target.... windturb_dg 1080
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,current_A.real,current_A.imag,current_B.real,current_B.imag,current_C.real,current_C.imag
2009-01-01 00:00:00 PST,+14376,-0.00410281,-7188.01,-12450,-7188.01,+12450,-0.0256809,+0.00801886,+0.019785,+0.0182309,+0.0058959,-0.0262497
2009-01-01 01:00:00 PST,+14376,-0.00410814,-7188.01,-12450,-7188.01,+12450,-0.133503,+0.0416863,+0.102853,+0.0947737,+0.03065,-0.13646
2009-01-01 02:00:00 PST,+14376,-0.00410601,-7188.01,-12450,-7188.01,+12450,-0.0258084,+0.00805869,+0.0198832,+0.0183214,+0.00592519,-0.0263801
2009-01-01 03:00:00 PST,+14376,-0.004106,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
2009-01-01 04:00:00 PST,+14376,-0.00410708,-7188.01,-12450,-7188.01,+12450,-0.0082531,+0.00257703,+0.00635832,+0.00585888,+0.00189477,-0.00843591
2009-01-01 05:00:00 PST,+14376,-0.00410325,-7188.01,-12450,-7188.01,+12450,-0.0082531,+0.00257703,+0.00635832,+0.00585888,+0.00189477,-0.00843591
2009-01-01 06:00:00 PST,+14376,-0.0040846,-7188.01,-12450,-7188,+12450,-0.00826114,+0.00257954,+0.00636452,+0.00586459,+0.00189662,-0.00844413
2009-01-01 07:00:00 PST,+14376,-0.0040785,-7188.01,-12450,-7188,+12450,+0,+0,+0,+0,+0,+0
2009-01-01 08:00:00 PST,+14376,-0.00408554,-7188.01,-12450,-7188,+12450,+0,+0,+0,+0,+0,+0
2009-01-01 09:00:00 PST,+14376,-0.00408667,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
2009-01-01 10:00:00 PST,+14376,-0.00408602,-7188.01,-12450,-7188.01,+12450,-0.00814681,+0.00254384,+0.00627643,+0.00578342,+0.00187037,-0.00832726
2009-01-01 11:00:00 PST,+14376,-0.00408583,-7188.01,-12450,-7188.01,+12450,-0.0255233,+0.00796964,+0.0196635,+0.018119,+0.00585971,-0.0260886
2009-01-01 12:00:00 PST,+14376,-0.0040871,-7188.01,-12450,-7188.01,+12450,-0.0254777,+0.00795543,+0.0196285,+0.0180867,+0.00584926,-0.0260421
2009-01-01 13:00:00 PST,+14376,-0.00408876,-7188.01,-12450,-7188.01,+12450,-0.00810696,+0.0025314,+0.00624573,+0.00575513,+0.00186122,-0.00828653
2009-01-01 14:00:00 PST,+14376,-0.00409013,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
2009-01-01 15:00:00 PST,+14376,-0.00408844,-7188.01,-12450,-7188.01,+12450,-0.00810696,+0.0025314,+0.00624573,+0.00575513,+0.00186122,-0.00828653
2009-01-01 16:00:00 PST,+14376,-0.00407789,-7188.01,-12450,-7188.01,+12450,-0.00132571,+0.000413952,+0.00102135,+0.00094112,+0.00030436,-0.00135507
2009-01-01 17:00:00 PST,+14376,-0.00406041,-7188.01,-12450,-7188,+12450,-0.00813889,+0.00254137,+0.00627034,+0.0057778,+0.00186855,-0.00831917
2009-01-01 18:00:00 PST,+14376,-0.00405697,-7188.01,-12450,-7188,+12450,-0.0257598,+0.0080435,+0.0198458,+0.0182869,+0.00591402,-0.0263304
2009-01-01 19:00:00 PST,+14376,-0.0040571,-7188.01,-12450,-7188,+12450,-0.0082115,+0.00256404,+0.00632628,+0.00582935,+0.00188522,-0.00839339
2009-01-01 20:00:00 PST,+14376,-0.00406049,-7188.01,-12450,-7188,+12450,-0.00133799,+0.000417788,+0.00103081,+0.000949842,+0.000307181,-0.00136763
2009-01-01 21:00:00 PST,+14376,-0.00406513,-7188.01,-12450,-7188,+12450,-0.00134332,+0.000419451,+0.00103491,+0.000953621,+0.000308403,-0.00137307
2009-01-01 22:00:00 PST,+14376,-0.00407335,-7188.01,-12450,-7188,+12450,-0.00134575,+0.000420211,+0.00103679,+0.000955349,+0.000308962,-0.00137556
2009-01-01 23:00:00 PST,+14376,-0.00409023,-7188.01,-12450,-7188,+12450,-0.00134868,+0.000421126,+0.00103905,+0.000957431,+0.000309635,-0.00137856
2009-01-02 00:00:00 PST,+14376,-0.00410121,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
2009-01-02 01:00:00 PST,+14376,-0.00410569,-7188.01,-12450,-7188.01,+12450,-0.00827723,+0.00258457,+0.00637691,+0.00587601,+0.00190031,-0.00846057
2009-01-02 02:00:00 PST,+14376,-0.00410682,-7188.01,-12450,-7188.01,+12450,-0.00831049,+0.00259495,+0.00640254,+0.00589962,+0.00190795,-0.00849457
2009-01-02 03:00:00 PST,+14376,-0.00410732,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
2009-01-02 04:00:00 PST,+14376,-0.00410639,-7188.01,-12450,-7188.01,+12450,+0,+0,+0,+0,+0,+0
