# timestamp,measured_voltage_1.real, measured_voltage_2.real, measured_voltage_N.real, measured_current_1.real, measured_current_2.real, measured_current_N.real, indiv_measured_power_1.real, indiv_measured_power_2.real, indiv_measured_power_N.real,fault,meterID
2000-01-01 00:00:00 PST,-60.1697,-60.1687,+0,-2.71805,+0,+2.71805,+652.69,+0,+0,None,node62463133906T62463072031
2000-01-01 00:15:00 PST,-60.0237,-60.0228,+0,-2.71644,+0,+2.71644,+651.71,+0,+0,None,node62463133906T62463072031
2000-01-01 00:30:00 PST,-60.0144,-60.0135,+0,-2.71686,+0,+2.71686,+651.545,+0,+0,None,node62463133906T62463072031
2000-01-01 00:45:00 PST,-60.0279,-60.027,+0,-2.71746,+0,+2.71746,+651.546,+0,+0,None,node62463133906T62463072031
2000-01-01 01:00:00 PST,-60.0095,-60.0087,+0,-2.99254,+0.664448,+2.3281,+664.478,+105.923,+0,None,node62463133906T62463072031
2000-01-01 01:15:00 PST,-59.9594,-59.9586,+0,-2.32543,+0,+2.32543,+558.698,+0,+0,None,node62463133906T62463072031
2000-01-01 01:30:00 PST,-59.9772,-59.9764,+0,-2.32783,+0,+2.32783,+558.361,+0,+0,None,node62463133906T62463072031
2000-01-01 01:45:00 PST,-60.077,-60.0762,+0,-2.32878,+0,+2.32878,+558.934,+0,+0,None,node62463133906T62463072031
2000-01-01 02:00:00 PST,-59.9497,-59.9489,+0,-2.10465,+0,+2.10465,+505.286,+0,+0,None,node62463133906T62463072031
2000-01-01 02:15:00 PST,-59.8837,-59.883,+0,-2.76751,+0.663832,+2.10368,+610.847,+105.825,+0,None,node62463133906T62463072031
2000-01-01 02:30:00 PST,-60.2054,-60.2046,+0,-2.11304,+0,+2.11304,+505.4,+0,+0,None,node62463133906T62463072031
2000-01-01 02:45:00 PST,-59.8637,-59.863,+0,-2.10319,+0,+2.10319,+504.98,+0,+0,None,node62463133906T62463072031
2000-01-01 03:00:00 PST,-60.2188,-60.2181,+0,-2.11305,+0,+2.11305,+505.49,+0,+0,None,node62463133906T62463072031
2000-01-01 03:15:00 PST,-60.097,-60.0963,+0,-2.10841,+0,+2.10841,+505.562,+0,+0,None,node62463133906T62463072031
2000-01-01 03:30:00 PST,-60.0211,-60.0204,+0,-2.7744,+0.664774,+2.10963,+610.564,+105.762,+0,None,node62463133906T62463072031
2000-01-01 03:45:00 PST,-60.1508,-60.1501,+0,-2.10988,+0,+2.10988,+505.644,+0,+0,None,node62463133906T62463072031
2000-01-01 04:00:00 PST,-59.984,-59.9833,+0,-2.71362,+0.664229,+2.04939,+598.157,+105.962,+0,None,node62463133906T62463072031
2000-01-01 04:15:00 PST,-59.9484,-59.9477,+0,-2.0497,+0,+2.0497,+491.895,+0,+0,None,node62463133906T62463072031
2000-01-01 04:30:00 PST,-60.0225,-60.0218,+0,-2.04979,+0,+2.04979,+492.375,+0,+0,None,node62463133906T62463072031
2000-01-01 04:45:00 PST,-59.9815,-59.9808,+0,-2.05276,+0,+2.05276,+491.517,+0,+0,None,node62463133906T62463072031
2000-01-01 05:00:00 PST,-60.0842,-60.0835,+0,-2.11065,+0,+2.11065,+505.036,+0,+0,None,node62463133906T62463072031
2000-01-01 05:15:00 PST,-60.0759,-60.0752,+0,-2.11037,+0,+2.11037,+505.033,+0,+0,None,node62463133906T62463072031
2000-01-01 05:30:00 PST,-59.9079,-59.9072,+0,-2.10523,+0,+2.10523,+504.885,+0,+0,None,node62463133906T62463072031
2000-01-01 05:45:00 PST,-59.8513,-59.8505,+0,-2.76496,+0.663534,+2.10142,+611.128,+105.888,+0,None,node62463133906T62463072031
2000-01-01 06:00:00 PST,-59.8647,-59.8638,+0,-2.37926,+0,+2.37926,+571.563,+0,+0,None,node62463133906T62463072031
2000-01-01 06:15:00 PST,-59.9033,-59.9025,+0,-3.0431,+0.663797,+2.37931,+677.778,+105.923,+0,None,node62463133906T62463072031
2000-01-01 06:30:00 PST,-60.066,-60.0652,+0,-2.38631,+0,+2.38631,+571.748,+0,+0,None,node62463133906T62463072031
2000-01-01 06:45:00 PST,-60.0585,-60.0577,+0,-3.05278,+0.664935,+2.38784,+677.195,+105.804,+0,None,node62463133906T62463072031
2000-01-01 07:00:00 PST,-59.9615,-59.9605,+0,-2.82821,+0,+2.82821,+677.561,+0,+0,None,node62463133906T62463072031
2000-01-01 07:15:00 PST,-60.007,-60.0061,+0,-3.49289,+0.664532,+2.82835,+783.812,+105.859,+0,None,node62463133906T62463072031
2000-01-01 07:30:00 PST,-60.093,-60.092,+0,-2.83047,+0,+2.83047,+678.33,+0,+0,None,node62463133906T62463072031
2000-01-01 07:45:00 PST,-60.0121,-60.0111,+0,-2.82615,+0,+2.82615,+678.431,+0,+0,None,node62463133906T62463072031
2000-01-01 08:00:00 PST,-59.9935,-59.9923,+0,-3.32832,+0,+3.32832,+797.279,+0,+0,None,node62463133906T62463072031
2000-01-01 08:15:00 PST,-59.9825,-59.9814,+0,-3.32599,+0,+3.32599,+797.615,+0,+0,None,node62463133906T62463072031
2000-01-01 08:30:00 PST,-59.9599,-59.9588,+0,-3.98598,+0.664075,+3.3219,+904.138,+105.966,+0,None,node62463133906T62463072031
2000-01-01 08:45:00 PST,-60.034,-60.0329,+0,-3.32843,+0,+3.32843,+797.698,+0,+0,None,node62463133906T62463072031
2000-01-01 09:00:00 PST,-59.9407,-59.9395,+0,-3.48847,+0,+3.48847,+837.768,+0,+0,None,node62463133906T62463072031
2000-01-01 09:15:00 PST,-60.0345,-60.0333,+0,-3.49271,+0,+3.49271,+838.008,+0,+0,None,node62463133906T62463072031
2000-01-01 09:30:00 PST,-60.0492,-60.048,+0,-3.49304,+0,+3.49304,+838.111,+0,+0,None,node62463133906T62463072031
2000-01-01 09:45:00 PST,-60.1064,-60.1052,+0,-3.49841,+0,+3.49841,+837.71,+0,+0,None,node62463133906T62463072031
2000-01-01 10:00:00 PST,-59.9876,-59.9864,+0,-4.15427,+0.664265,+3.49,+943.956,+105.952,+0,None,node62463133906T62463072031
2000-01-01 10:15:00 PST,-60.0493,-60.0481,+0,-3.4947,+0,+3.4947,+837.785,+0,+0,None,node62463133906T62463072031
2000-01-01 10:30:00 PST,-60.0289,-60.0277,+0,-3.49406,+0,+3.49406,+837.679,+0,+0,None,node62463133906T62463072031
2000-01-01 10:45:00 PST,-60.0253,-60.0241,+0,-3.49444,+0,+3.49444,+837.564,+0,+0,None,node62463133906T62463072031
2000-01-01 11:00:00 PST,-60.0966,-60.0954,+0,-3.38528,+0,+3.38528,+811.413,+0,+0,None,node62463133906T62463072031
2000-01-01 11:15:00 PST,-59.9573,-59.9561,+0,-3.38065,+0,+3.38065,+810.781,+0,+0,None,node62463133906T62463072031
2000-01-01 11:30:00 PST,-60.0451,-60.0439,+0,-3.38365,+0,+3.38365,+811.165,+0,+0,None,node62463133906T62463072031
2000-01-01 11:45:00 PST,-59.8955,-59.8944,+0,-3.37637,+0,+3.37637,+810.938,+0,+0,None,node62463133906T62463072031
2000-01-01 12:00:00 PST,-60.0211,-60.0199,+0,-3.32827,+0,+3.32827,+797.589,+0,+0,None,node62463133906T62463072031
2000-01-01 12:15:00 PST,-60.0193,-60.0182,+0,-3.32848,+0,+3.32848,+797.528,+0,+0,None,node62463133906T62463072031
2000-01-01 12:30:00 PST,-60.0137,-60.0126,+0,-3.32589,+0,+3.32589,+797.975,+0,+0,None,node62463133906T62463072031
2000-01-01 12:45:00 PST,-59.9471,-59.946,+0,-3.32265,+0,+3.32265,+797.887,+0,+0,None,node62463133906T62463072031
