# file...... xout_power_data.csv
# date...... Mon Jan  7 15:02:17 2019
# user...... dpinney
# host...... (null)
# target.... regulator 119
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,power_out.real, power_out.imag, power_losses.real
2010-01-01 07:15:00 EST,+1.43501e+06,+626810,+1.16415e-10
2010-01-01 07:30:00 EST,+1.45226e+06,+629214,+0
2010-01-01 07:45:00 EST,+1.97167e+06,+688909,+2.91038e-10
2010-01-01 08:00:00 EST,+1.96771e+06,+704721,+2.91038e-10
2010-01-01 08:15:00 EST,+1.66796e+06,+668474,+2.32831e-10
2010-01-01 08:30:00 EST,+1.1438e+06,+592315,+1.16415e-10
2010-01-01 08:45:00 EST,+807586,+568131,+8.73115e-11
2010-01-01 09:00:00 EST,+683129,+564683,+1.45519e-10
2010-01-01 09:15:00 EST,+602565,+557561,+8.73115e-11
2010-01-01 09:30:00 EST,+613376,+546213,+5.82077e-11
2010-01-01 09:45:00 EST,+555458,+536764,+8.73115e-11
2010-01-01 10:00:00 EST,+548031,+534185,+8.73115e-11
2010-01-01 10:15:00 EST,+579806,+535062,+5.82077e-11
2010-01-01 10:30:00 EST,+548420,+530098,+8.73115e-11
2010-01-01 10:45:00 EST,+557871,+530391,+8.73115e-11
2010-01-01 11:00:00 EST,+570233,+529377,+1.16415e-10
2010-01-01 11:15:00 EST,+580457,+530094,+8.73115e-11
2010-01-01 11:30:00 EST,+573484,+523776,+2.91038e-11
2010-01-01 11:45:00 EST,+533011,+522742,+8.73115e-11
2010-01-01 12:00:00 EST,+566867,+521684,+1.16415e-10
2010-01-01 12:15:00 EST,+544158,+521051,+8.73115e-11
2010-01-01 12:30:00 EST,+547895,+519132,+5.82077e-11
2010-01-01 12:45:00 EST,+546873,+518705,+8.73115e-11
2010-01-01 13:00:00 EST,+573259,+518717,+8.73115e-11
2010-01-01 13:15:00 EST,+551674,+518381,+5.82077e-11
2010-01-01 13:30:00 EST,+552920,+516148,+5.82077e-11
2010-01-01 13:45:00 EST,+548235,+515962,+1.45519e-10
2010-01-01 14:00:00 EST,+548521,+515679,+8.73115e-11
2010-01-01 14:15:00 EST,+538104,+515095,+8.73115e-11
2010-01-01 14:30:00 EST,+557175,+515764,+8.73115e-11
2010-01-01 14:45:00 EST,+567115,+516225,+1.16415e-10
2010-01-01 15:00:00 EST,+563112,+516518,+2.91038e-11
2010-01-01 15:15:00 EST,+548135,+515552,+8.73115e-11
2010-01-01 15:30:00 EST,+565302,+525148,+8.73115e-11
2010-01-01 15:45:00 EST,+542283,+523349,+2.91038e-11
2010-01-01 16:00:00 EST,+560182,+526920,+5.82077e-11
2010-01-01 16:15:00 EST,+702581,+531086,+5.82077e-11
2010-01-01 16:30:00 EST,+664015,+560046,+5.82077e-11
2010-01-01 16:45:00 EST,+697799,+560740,+5.82077e-11
2010-01-01 17:00:00 EST,+1.10618e+06,+597680,+1.16415e-10
2010-01-01 17:15:00 EST,+1.30835e+06,+605082,+1.16415e-10
2010-01-01 17:30:00 EST,+955093,+603250,+1.16415e-10
2010-01-01 17:45:00 EST,+899692,+603996,+8.73115e-11
2010-01-01 18:00:00 EST,+1.66781e+06,+691646,+3.49246e-10
2010-01-01 18:15:00 EST,+1.54024e+06,+666450,+2.32831e-10
2010-01-01 18:30:00 EST,+1.60857e+06,+678337,+2.91038e-10
2010-01-01 18:45:00 EST,+1.49793e+06,+691133,+1.74623e-10
2010-01-01 19:00:00 EST,+1.45587e+06,+706726,+2.32831e-10
2010-01-01 19:15:00 EST,+1.29378e+06,+682434,+1.16415e-10
2010-01-01 19:30:00 EST,+1.12388e+06,+665650,+1.16415e-10
2010-01-01 19:45:00 EST,+1.03548e+06,+673960,+1.74623e-10
2010-01-01 20:00:00 EST,+910019,+654591,+1.74623e-10
2010-01-01 20:15:00 EST,+826623,+642718,+1.16415e-10
2010-01-01 20:30:00 EST,+867614,+651184,+1.16415e-10
2010-01-01 20:45:00 EST,+879901,+654681,+5.82077e-11
2010-01-01 21:00:00 EST,+783820,+623990,+1.74623e-10
2010-01-01 21:15:00 EST,+812993,+631750,+5.82077e-11
2010-01-01 21:30:00 EST,+799820,+609532,+8.73115e-11
2010-01-01 21:45:00 EST,+795553,+608436,+8.73115e-11
2010-01-01 22:00:00 EST,+750521,+588901,+1.16415e-10
2010-01-01 22:15:00 EST,+782961,+597385,+1.45519e-10
2010-01-01 22:30:00 EST,+744793,+561123,+2.03727e-10
2010-01-01 22:45:00 EST,+745311,+560185,+8.73115e-11
2010-01-01 23:00:00 EST,+795766,+525582,+0
2010-01-01 23:15:00 EST,+575282,+504155,+8.73115e-11
2010-01-01 23:30:00 EST,+570979,+479553,+0
2010-01-01 23:45:00 EST,+441819,+443316,+2.91038e-11
