# file...... Voltage_tm_1.csv
# date...... Thu Aug 09 12:18:26 2012
# user...... dwp0
# host...... (null)
# target.... triplex_meter 19
# trigger... (none)
# interval.. 86400
# limit..... 600
# timestamp,voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2000-01-01 00:00:00 PST,+120.299,-0.064268,+120.347,-0.0826529,+240.646,-0.146921
2000-01-02 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-03 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-04 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-05 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-06 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-07 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-08 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-09 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-10 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-11 00:00:00 PST,+120.331,+0.0552307,+120.378,+0.0368904,+240.709,+0.0921212
2000-01-12 00:00:00 PST,+120.342,+0.0547224,+120.389,+0.0363811,+240.731,+0.0911036
2000-01-13 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-14 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-15 00:00:00 PST,+120.325,+0.0554896,+120.372,+0.0371498,+240.697,+0.0926393
2000-01-16 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-17 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-18 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-19 00:00:00 PST,+120.336,+0.0549822,+120.384,+0.0366414,+240.72,+0.0916236
2000-01-20 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-21 00:00:00 PST,+120.342,+0.0547225,+120.389,+0.0363811,+240.731,+0.0911036
2000-01-22 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-23 00:00:00 PST,+120.331,+0.0552307,+120.378,+0.0368904,+240.709,+0.0921212
2000-01-24 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-25 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-26 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-27 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-28 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-29 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-01-30 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-01-31 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-02-01 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-02-02 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-03 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-04 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-05 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-02-06 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-07 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-08 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-09 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-10 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-11 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-12 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-13 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-14 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-15 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-16 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-17 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-18 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-19 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-20 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-21 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-22 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-23 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-24 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-25 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-26 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-02-27 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-28 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-02-29 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-01 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-02 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-03 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-04 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-03-05 00:00:00 PST,+120.325,+0.0554896,+120.372,+0.0371498,+240.697,+0.0926393
2000-03-06 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-07 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-08 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-09 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-10 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-11 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-03-12 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-03-13 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-14 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-15 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-16 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-17 00:00:00 PST,+120.328,+0.0553471,+120.375,+0.037007,+240.704,+0.0923541
2000-03-18 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-03-19 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-20 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-21 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-22 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-23 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-24 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-25 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-26 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-27 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-28 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-29 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-30 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-03-31 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-04-01 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792829,+241.386,+0.00252636
2000-04-02 00:00:00 PST,+120.669,+0.0104546,+120.717,-0.00792828,+241.386,+0.00252636
2000-04-03 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-04 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-05 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-06 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-07 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-08 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-09 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-10 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-11 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-12 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-13 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-14 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-15 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-16 01:00:00 PDT,+120.342,+0.0542369,+120.374,+0.038208,+240.716,+0.0924449
2000-04-17 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-18 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-19 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-20 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-21 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-22 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-23 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-24 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-25 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-26 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-27 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
2000-04-28 01:00:00 PDT,+120.687,+0.00919205,+120.718,-0.00687196,+241.405,+0.00232008
