ConsumerClassId,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor_percent,FrequenceSensitivityP,FrequenceSensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZ_P,ConstantImpedanceZ_Q,ConstantCurrentI_P,ConstantCurrentI_Q,ConstantPowerP_P,ConstantPowerP_Q,ExponentialModel_P,ExponentialModel_Q,LoadFlowVoltPercentOfNominal,UseLTD,AdjustmentSettings,PowerCurveModel,PowerCurveModelID
"Commercial",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"I",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"Industrial",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"Other",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"PQ",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"Residential",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
"Z",,0,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,9.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1,0,1.0000000000000000e+02,1.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+01,0,0,0,
