EquipmentID,EquipmentType,ComputeMode,R2_ohms,L2_mh,SkinEffectA,SkinEffectB
"DEFAULT",34,0,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.5000000000000000e+00
"DEFAULT",36,0,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.5000000000000000e+00
