EquipmentID,EquipmentType,StabilityModel,DampingConstant_pu,SaturationSGU,SaturationSGL,SaturationEU,SaturationEL
"DEFAULT",34,1,0.0000000000000000e+00,5.9999999999999998e-01,1.2000000000000000e-01,1.2000000000000000e+00,1.0000000000000000e+00
"DEFAULT",36,1,0.0000000000000000e+00,5.9999999999999998e-01,1.2000000000000000e-01,1.2000000000000000e+00,1.0000000000000000e+00
