HH.VEH.ID,VEHTYPE,URBUR,ARRHOME,DUR.HOME,DEPHOME,HHVEHMILES,ARRWORK,DUR.WORK,DEPWORK
1.014374e+07,3,1,1915,1135,650,25,728,1.007000e+03,1735
1.014499e+07,1,1,1615,1715,930,10,945,615,1600
1.014659e+07,1,1,1815,1305,720,46,805,905,1710
1.014661e+07,2,2,1920,1450,1010,1.050000e+01,816,944,1800
1.014965e+07,3,1,1910,1220,730,3.722222e+01,815,645,1500
1.015132e+07,1,1,1750,1.323000e+03,713,30,743,9.270000e+02,1710
1.015709e+07,3,2,2135,1625,1400,61,2230,9.550000e+02,825
1.015772e+07,1,1,1845,1215,700,5.422222e+01,815,915,1730
1.015772e+07,2,1,1700,1245,545,54,730,830,1600
1.015788e+07,3,1,1919,1221,740,31,809,916,1725
1.015918e+07,3,1,1932,1213,745,18,830,1030,1900
1.016120e+07,1,1,2116,1034,750,14,819,1003,1822
1.016607e+07,1,1,1645,1320,605,25,630,930,1600
1.016976e+07,4,1,2000,2300,1900,55,550,1.010000e+03,1600
1.017221e+07,2,1,145,1825,2010,50,855,920,1815
1.017530e+07,3,1,1720,1455,815,10,830,830,1700
1.017891e+07,2,1,1813,1402,815,12,828,932,1800
1.018456e+07,4,2,1625,1.425000e+03,650,36,722,823,1545
1.018931e+07,1,1,2022,1028,650,58,745,845,1630
1.018931e+07,1,1,1715,1445,800,12,815,845,1700
1.018938e+07,1,2,1745,1215,600,23,620,8.400000e+02,1500
1.018986e+07,4,1,1804,1.431000e+03,835,17,1007,733,1740
1.019126e+07,2,1,1610,1420,630,48,820,625,1445
1.019337e+07,2,1,2003,1012,615,22,635,8.250000e+02,1500
1.019990e+07,1,2,1700,1.540000e+03,840,18,900,7.400000e+02,1640
1.019999e+07,1,1,1920,1110,630,22,650,1040,1730
1.020305e+07,1,1,2000,1.218000e+03,818,73,1002,713,1715
1.020401e+07,1,1,1745,1345,730,30,800,900,1700
1.020830e+07,2,1,2039,1124,803,31,831,717,1548
1.021405e+07,1,2,1835,1410,845,1.622222e+01,900,700,1600
1.021504e+07,4,2,1450,1.610000e+03,700,23,745,645,1430
1.021690e+07,4,2,1815,1515,930,16,945,815,1800
1.022041e+07,2,1,1945,1215,800,29,830,700,1530
1.022714e+07,1,2,1605,1525,730,2.150000e+01,755,735,1530
1.022806e+07,1,2,1715,1045,400,3.061111e+01,440,1105,1545
1.022867e+07,4,2,1915,1545,1100,1.250000e+01,1114,746,1900
1.023163e+07,2,2,1713,1407,720,2.850000e+01,750,740,1530
1.023227e+07,3,1,2320,1440,1400,16,1415,8.500000e+02,2305
1.023315e+07,1,1,1800,1330,730,32,830,830,1700
1.023506e+07,1,1,1805,1340,745,23,816,744,1600
1.023914e+07,1,1,1700,1355,655,11,730,900,1630
1.024052e+07,3,1,2027,1128,755,4.472222e+01,906,7.300000e+02,1636
1.024085e+07,1,2,1600,1430,630,22,700,830,1530
1.024085e+07,4,2,1445,1455,540,14,555,8.350000e+02,1430
1.024133e+07,4,1,1700,1415,715,46,755,8.200000e+02,1615
1.024259e+07,4,1,1545,1430,615,10,630,900,1530
1.024547e+07,1,1,1720,1400,720,12,745,915,1700
1.024642e+07,1,1,1655,1330,625,16,640,9.500000e+02,1630
1.024783e+07,1,1,1730,1420,750,16,825,835,1700
1.024783e+07,4,1,1655,1405,700,14,715,8.500000e+02,1605
1.024807e+07,1,1,1800,1320,720,32,800,9.050000e+02,1705
1.024807e+07,1,1,1810,1343,753,19,817,8.030000e+02,1620
1.025071e+07,1,1,1750,1325,715,36,750,9.250000e+02,1715
1.025167e+07,2,1,1735,1355,730,16,800,915,1715
1.025186e+07,1,1,1900,1200,700,42,800,1000,1800
1.025410e+07,4,1,1830,1015,445,24,600,1100,1700
1.026243e+07,1,1,2250,9.250000e+02,815,14,835,1355,2230
1.026282e+07,1,1,1420,2140,1200,60,1345,845,2230
1.026399e+07,1,1,1755,1410,805,16,830,900,1730
1.026458e+07,1,2,1835,1125,600,14,615,1115,1730
1.026511e+07,1,1,1605,1455,700,16,716,830,1546
1.026566e+07,1,1,1900,1250,750,16,804,916,1720
1.026656e+07,1,1,1800,1400,800,34,840,840,1720
1.027006e+07,3,1,1815,1240,655,33,728,1002,1730
1.027323e+07,1,1,1815,1145,600,1.005556e+01,645,915,1600
1.027602e+07,1,1,1645,1350,635,28,715,845,1600
1.027923e+07,1,1,1640,1405,645,15,705,735,1440
1.027981e+07,1,1,2045,1045,730,2.000000e+01,1100,6.350000e+02,1735
1.028052e+07,1,2,2000,1140,740,1.777778e+01,815,815,1630
1.028083e+07,4,2,1750,1.220000e+03,610,20,630,1100,1730
1.028340e+07,3,1,1805,1315,720,40,805,710,1515
1.028632e+07,4,1,1620,1310,530,28,600,945,1545
1.028993e+07,3,1,2030,800,430,10,500,1245,1745
1.029057e+07,1,1,1850,1300,750,1.450000e+01,805,825,1630
1.029327e+07,1,1,1815,1345,800,26,845,845,1730
1.029830e+07,4,1,2215,1345,1200,21,1222,838,2100
1.030046e+07,1,1,1830,1330,800,1.050000e+01,830,9.400000e+02,1810
1.030056e+07,1,1,2135,1325,1100,26,1250,725,2015
1.030235e+07,3,1,2115,1915,1630,88,745,915,1700
1.030599e+07,1,2,1640,1330,610,18,645,915,1600
1.030773e+07,2,1,2220,830,650,70,845,845,1730
1.031426e+07,4,2,1715,1345,700,16,715,815,1530
1.031547e+07,1,2,2237,1023,900,46,1050,810,1900
1.031904e+07,2,1,2330,1400,1330,22,1350,920,2310
1.031995e+07,1,1,1830,1115,545,14,600,1200,1800
1.032148e+07,1,1,1815,1230,645,34,740,9.200000e+02,1700
1.032342e+07,1,1,1615,1320,535,32,635,8.200000e+02,1455
1.032346e+07,1,1,1805,1325,730,28,825,8.450000e+02,1710
1.032388e+07,1,1,2240,9.250000e+02,805,11,840,735,1615
1.032597e+07,2,1,1630,1440,710,18,735,8.250000e+02,1600
1.033237e+07,1,1,1726,1347,713,3.083333e+01,750,8.280000e+02,1618
1.033302e+07,1,1,1700,1130,430,35,500,1130,1630
1.033480e+07,1,1,1825,1050,515,14,550,1.220000e+03,1810
1.033575e+07,4,1,1715,1335,650,12,705,9.550000e+02,1700
1.033712e+07,4,1,1815,1215,630,10,645,1115,1800
1.033807e+07,3,2,1820,1.250000e+03,710,40,805,755,1600
1.033993e+07,4,1,1830,1030,500,11,512,1303,1815
1.034275e+07,1,2,1624,1.446000e+03,710,14,735,8.050000e+02,1540
1.034470e+07,1,1,1400,1530,530,1.861111e+01,600,730,1330
1.034576e+07,1,1,2300,830,730,22,800,800,1600
1.034863e+07,1,1,1940,1.040000e+03,620,17,645,1055,1740
1.034915e+07,3,2,1920,1152,712,2.166667e+01,742,937,1719
1.034992e+07,1,1,1920,1140,700,3.150000e+01,730,930,1700
1.035195e+07,1,2,1645,1415,700,16,715,915,1630
1.035249e+07,1,1,1955,1320,915,18,950,940,1930
1.035249e+07,1,1,1730,1410,740,10,750,930,1720
1.035364e+07,1,1,1925,1205,730,74,845,745,1630
1.035521e+07,2,1,2030,1200,830,16,905,825,1730
1.035903e+07,1,1,1620,1355,615,12,630,930,1600
1.035980e+07,1,1,2050,1205,855,1.522222e+01,911,919,1830
1.036008e+07,2,1,1800,2.320000e+03,1720,96,655,845,1540
1.036101e+07,1,1,1730,1400,730,27,800,900,1700
1.036308e+07,1,1,2208,9.390000e+02,747,31,830,1030,1900
1.036320e+07,3,1,2055,1.005000e+03,700,22,725,745,1510
1.036390e+07,1,1,1810,1220,630,82,800,830,1630
1.036458e+07,1,1,1915,1.355000e+03,910,32,945,815,1800
1.036625e+07,3,1,1550,1450,640,10,655,8.400000e+02,1535
1.036938e+07,1,1,2015,1100,715,55,810,850,1700
1.037098e+07,1,2,1920,1240,800,1.450000e+01,820,905,1725
1.037583e+07,1,1,2020,8.500000e+02,510,20,530,700,1230
1.037593e+07,1,1,1953,1027,620,12,635,815,1450
1.037762e+07,1,2,2030,1.350000e+03,1020,11,1035,9.450000e+02,2020
1.047570e+07,1,1,1600,1430,630,34,700,830,1530
1.047720e+07,2,1,1925,1.260000e+03,825,15,842,818,1700
1.047734e+07,4,2,1715,1415,730,28,800,830,1630
1.047750e+07,3,1,1735,1245,620,40,655,1000,1655
1.047882e+07,1,1,2145,1015,800,1.422222e+01,820,7.200000e+02,1540
1.048173e+07,1,1,2110,1035,745,18,825,920,1745
