"Location","Lat","Lon","Tilt","ArrayOutput"
"Cleveland OH",41.4,-81.85,25,134
"Augusta GA",33.37,-81.97,15,157
"Greenville SC",34.9,-82.22,20,156
"Bristol TN",36.48,-82.4,20,145
"Mansfield OH",40.82,-82.52,25,136
"Tampa FL",27.97,-82.53,15,164
"Asheville NC",35.43,-82.53,20,152
"Huntington WV",38.37,-82.55,20,139
"Detroit MI",42.42,-83.02,25,136
"Alpena MI",45.07,-83.57,30,140
"Macon GA",32.7,-83.65,15,158
"Flint MI",42.97,-83.73,25,135
"Knoxville TN",35.82,-83.98,20,148
"Dayton OH",39.9,-84.22,25,141
"Tallahassee FL",30.38,-84.37,15,159
"Sault Ste. Marie MI",46.47,-84.37,30,141
"Atlanta GA",33.65,-84.43,15,158
"Lexington KY",38.03,-84.6,20,143
"Lansing MI",42.78,-84.6,25,136
"Columbus GA",32.52,-84.95,15,159
"Chattanooga TN",35.03,-85.2,15,148
"Fort Wayne",41,-85.2,25,139
"Grand Rapids MI",42.88,-85.52,25,138
"Traverse City MI",44.73,-85.58,30,135
"Louisville KY",38.18,-85.73,20,145
"Muskegon MI",43.17,-86.25,25,139
"Indianapolis IN",39.73,-86.28,25,148
"South Bend IN",41.7,-86.32,25,137
"Montgomery AL",32.3,-86.4,15,158
"Springfield IL",39.83,-86.67,25,151
"Nashville TN",36.12,-86.68,20,153
"Birmingham AL",33.57,-86.75,15,153
"Huntsville AL",34.65,-86.77,15,150
"Evansville IN",38.05,-87.53,20,148
"Chicago IL",41.78,-87.75,25,141
"Milwaukee WI",42.95,-87.9,25,143
"Greenbay WI",44.48,-88.13,30,143
"Mobile AL",30.68,-88.25,15,151
"Houghton MI",47.17,-88.5,30,134
"Meridian MS",32.33,-88.75,15,153
"Rockford IL",42.2,-89.1,25,142
"Madison WI",43.13,-89.33,25,145
"Peoria IL",40.67,-89.68,25,146
"Memphis TN",35.05,-89.98,15,156
"Jackson MS",32.32,-90.08,15,157
"New Orlean LA",29.98,-90.25,15,154
"St. Louis MO",38.75,-90.38,20,150
"Moline IL",41.45,-90.52,25,146
"Baton Rouge LA",30.53,-91.15,15,151
"Lacrosse WI",43.87,-91.25,30,145
"Eau Claire WI",44.87,-91.48,30,143
"Duluth MN",46.83,-92.18,30,144
"Columbia MO",38.82,-92.22,20,154
"Little Rock AR",34.73,-92.23,15,155
"Waterloo IA",42.55,-92.4,25,146
"Rochester MN",43.92,-92.5,30,144
"Lake Charles",30.12,-93,15,156
"Minneapolis MN",44.88,-93.22,30,148
"Mason City IA",43.15,-93.33,25,147
"International Falls MN",48.57,-93.38,30,139
"Des Moine IA",41.53,-93.65,25,151
"Shreveport LA",32.47,-93.82,15,157
"Port Arthur TX",29.95,-94.02,15,154
"Saint Cloud MN",45.55,-94.07,30,147
"Fort Smith AR",35.33,-94.37,20,160
"Covington KY",39.07,-94.67,20,141
"Kansas City KS",39.3,-94.72,20,154
"Lufkin TX",31.23,-94.75,15,158
"Houston TX",29.98,-95.37,15,150
"Topeka KS",39.07,-95.63,20,154
"Tulsa OK",36.2,-95.9,20,158
"Sioux City IA",42.4,-96.38,25,151
"Omaha NE",41.37,-96.52,25,154
"Sioux Falls SD",43.57,-96.73,25,151
"Fargo ND",46.9,-96.8,30,149
"Victoria TX",28.85,-96.92,15,155
"Fort Worth TX",32.83,-97.05,15,168
"Waco TX",31.62,-97.22,15,166
"Wichita KS",37.65,-97.42,20,163
"Brownsville TX",25.9,-97.43,15,158
"Norfolk NE",41.98,-97.43,25,157
"Corpus Christi TX",27.77,-97.5,15,153
"Oklahoma City OK",35.4,-97.6,20,168
"Austin TX",30.3,-97.7,15,165
"Huron SD",44.38,-98.22,30,153
"Grand Island NE",40.97,-98.32,25,162
"Wichita Falls TX",33.97,-98.48,15,170
"Abliene TX",32.43,-99.68,15,175
"Dodge City KS",37.77,-99.97,20,175
"Pierre SD",44.38,-100.28,30,158
"San Angelo TX",31.37,-100.5,15,177
"North Platte NE",41.13,-100.68,25,164
"Bismarck ND",46.77,-100.75,30,157
"Minot ND",48.27,-101.28,30,152
"Amarillo TX",35.23,-101.7,20,179
"Goodland KS",39.37,-101.7,25,174
"Lubbock TX",33.65,-101.82,15,177
"Midland TX",31.93,-102.2,15,184
"Rapid City SD",44.05,-103.07,30,163
"Tucumcari NM",35.18,-103.6,20,186
"Scotts Bluff",41.87,-103.6,25,165
"Pueblo CO",38.28,-104.52,20,181
"Colorado Springs CO",38.82,-104.72,20,171
"Cheyenne WY",41.15,-104.82,25,164
"Boulder CO",40.02,-105.25,25,170
"Alamosa CO",37.45,-105.87,20,194
"Miles City MT",46.43,-105.87,30,160
"El Paso TX",31.8,-106.4,15,198
"Casper WY",42.92,-106.47,25,165
"Albuquerque NM",35.05,-106.62,20,199
"Glasgow MT",48.22,-106.62,30,151
"Eagle CO",39.65,-106.92,25,172
"Sheridan WY",44.77,-106.97,30,160
"Grand Junction CO",39.12,-108.53,25,183
"Billings MT",45.8,-108.53,30,160
"Lander WY",42.82,-108.73,25,174
"Rock Springs WY",41.6,-109.07,25,171
"Lewistown MT",47.05,-109.45,30,151
"Tucson AZ",32.12,-110.93,15,196
"Great Falls MT",47.48,-111.37,30,154
"Flagstaff AZ",35.13,-111.67,20,185
"Salt Lake City UT",40.77,-111.97,25,166
"Helena MT",46.6,-112,30,152
"Phoenix AZ",33.43,-112.02,15,197
"Cutbank MT",48.6,-112.37,35,154
"Prescott AZ",34.65,-112.43,15,187
"Pocatello ID",42.92,-112.6,25,160
"Cedar City",37.7,-113.1,20,182
"Missoula MT",46.92,-114.08,30,142
"Kalispell MT",48.3,-114.27,30,138
"Ely NV",39.28,-114.85,20,180
"Las Vegas NV",36.08,-115.17,20,200
"Elko NV",40.83,-115.78,25,169
"Boise ID",43.57,-116.22,25,162
"Daggett CA",34.87,-116.78,20,204
"Tonopah NV",38.07,-117.13,25,192
"San Diego CA",32.73,-117.17,15,174
"Spokane WA",47.63,-117.53,30,145
"Winniemucca NV",40.9,-117.8,25,173
"Longbeach CA",33.82,-118.15,15,171
"Los Angeles CA",33.93,-118.4,15,171
"Pendleton OR",45.68,-118.85,30,152
"Bakersfield CA",35.42,-119.05,15,179
"Burns OR",43.58,-119.05,25,164
"Fresno CA",36.77,-119.72,20,180
"Reno NV",39.5,-119.78,25,182
"Yakima WA",46.57,-120.53,30,155
"Sacramento CA",38.52,-121.5,20,172
"Redmond OR",44.27,-121.5,30,166
"Seattle WA",47.45,-122.3,30,122
"San Francisco CA",37.62,-122.38,20,167
"Medford OR",42.37,-122.87,25,156
"Olympia WA",46.97,-122.9,30,120
"Salem OR",44.92,-123.02,30,135
"Eugene OR",44.12,-123.22,30,134
"Astoria OR",46.15,-123.88,30,118
"Arcata CA",40.98,-124.1,25,141
"North Bend OR",43.42,-124.25,25,141
"Quillayute WA",47.95,-124.55,30,111
"Annette AK",55.03,-131.57,35,103
"Yakutat AK",59.52,-139.67,40,98
"Gulkana AK",62.15,-145.45,40,121
"Big Delta AK",64,-145.73,40,114
"Fairbanks AK",64.82,-147.87,40,115
"Anchorage AK",61.17,-150.02,40,104
"Talkeetna AK",62.3,-150.1,40,113
"Bettles AK",66.92,-151.52,45,109
"Kodiak AK",57.75,-152.33,35,102
"Hilo HI",19.72,-155.07,5,149
"McGrath AK",62.97,-155.62,40,114
"Kahului HI",20.9,-156.43,5,178
"King Salmon AK",58.68,-156.65,40,105
"Honolulu HI",21.33,-157.92,5,174
"Lihue HI",21.98,-159.35,5,162
"Bethel AK",60.78,-161.8,40,109
"Kotzebue AK",66.87,-162.63,45,111
"Cold Bay AK",55.2,-162.72,35,86
"Nome AK",64.5,-165.43,40,112
"St. Paul Is. AK",57.15,-170.22,35,92
