# file...... Windmill_windturb_dg2594.csv
# date...... Thu Feb 28 16:15:05 2013
# user...... dwp0
# host...... (null)
# target.... windturb_dg 2251
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,current_A.real,current_A.imag,current_B.real,current_B.imag,current_C.real,current_C.imag
2012-04-03 00:00:00 PDT,+2400.26,-0.18056,-1200.1,-2078.78,-1200.06,+2078.69,-28.8471,+11.9628,+24.7817,+19.0035,+4.06499,-30.9635
2012-04-03 01:00:00 PDT,+2399.83,-0.469175,-1200.16,-2078.36,-1199.43,+2078.66,-22.2684,+9.23777,+19.1327,+14.6684,+3.13285,-23.9041
2012-04-03 02:00:00 PDT,+2399.82,-0.814843,-1200,-2078.63,-1199.08,+2078.46,-19.1939,+7.9656,+16.4906,+12.6458,+2.69873,-20.6052
2012-04-03 03:00:00 PDT,+2399.82,-1.23884,-1199.97,-2078.72,-1198.92,+2078.3,-13.5469,+5.62487,+11.6396,+8.92632,+1.90454,-14.5441
2012-04-03 04:00:00 PDT,+2399.98,-1.04279,-1199.99,-2078.54,-1198.87,+2078.38,-19.1934,+7.96752,+16.491,+12.6457,+2.69751,-20.6056
2012-04-03 05:00:00 PDT,+2399.73,-1.31367,-1200.09,-2078.72,-1199.17,+2078.3,-22.266,+9.24594,+19.1319,+14.6708,+3.13247,-23.905
2012-04-03 06:00:00 PDT,+2399.59,-1.563,-1200.21,-2078.68,-1198.99,+2078.24,-28.8467,+11.9821,+24.7883,+19.0063,+4.0568,-30.9717
2012-04-03 07:00:00 PDT,+2399.86,-1.47232,-1199.97,-2079.28,-1199.51,+2078.07,-62.9519,+26.1456,+54.0857,+41.4882,+8.86817,-67.5861
2012-04-03 08:00:00 PDT,+2400.22,-0.313483,-1199.94,-2079.12,-1200.33,+2078.52,-96.2989,+39.941,+82.721,+63.4508,+13.584,-103.365
2012-04-03 09:00:00 PDT,+2400.56,-0.037173,-1199.76,-2079.45,-1200.66,+2078.63,-138.046,+57.2377,+118.565,+90.9693,+19.4859,-148.166
2012-04-03 10:00:00 PDT,+2400.85,+0.448201,-1199.67,-2079.47,-1200.93,+2078.83,-162.689,+67.4168,+139.714,+107.205,+22.9728,-174.6
2012-04-03 11:00:00 PDT,+2400.97,+0.503476,-1199.6,-2079.67,-1201.15,+2078.86,-185.555,+76.887,+159.341,+122.281,+26.2157,-199.136
2012-04-03 12:00:00 PDT,+2401.08,+0.61033,-1199.56,-2079.76,-1201.27,+2078.91,-203.02,+84.1134,+174.331,+133.795,+28.6896,-217.874
2012-04-03 13:00:00 PDT,+2400.91,+0.492568,-1199.64,-2079.55,-1201.06,+2078.84,-172.242,+71.3713,+147.913,+113.502,+24.3292,-184.849
2012-04-03 14:00:00 PDT,+2400.61,+0.154198,-1199.77,-2079.27,-1200.59,+2078.71,-128.33,+53.1971,+110.219,+84.5595,+18.1083,-137.734
2012-04-03 15:00:00 PDT,+2400.36,+0.00620853,-1199.9,-2079.02,-1200.39,+2078.61,-91.9825,+38.1364,+79.0092,+60.6028,+12.9747,-98.726
2012-04-03 16:00:00 PDT,+2400.33,-0.0195603,-1199.86,-2078.97,-1200.26,+2078.57,-75.179,+31.1706,+64.5757,+49.5324,+10.6013,-80.6914
2012-04-03 17:00:00 PDT,+2400.24,-0.101491,-1199.9,-2078.88,-1200.12,+2078.55,-62.9605,+26.1071,+54.0828,+41.4807,+8.87545,-67.5783
2012-04-03 18:00:00 PDT,+2400.16,-0.174568,-1199.93,-2078.79,-1200,+2078.5,-47.1713,+19.5616,+40.5212,+31.0775,+6.64809,-50.6319
2012-04-03 19:00:00 PDT,+2399.81,-0.515038,-1200.09,-2078.64,-1199.83,+2078.62,-28.8484,+11.968,+24.7847,+19.0049,+4.06326,-30.967
2012-04-03 20:00:00 PDT,+2399.8,-0.629915,-1200.03,-2078.62,-1199.51,+2078.54,-13.5476,+5.6211,+11.6393,+8.92529,+1.90676,-14.543
