# file...... mavaCapBank.csv
# date...... Mon Jul 14 10:26:41 2014
# user...... fish334
# host...... (null)
# target.... meter 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real, measured_power.imag
2000-01-01 00:00:00 PST,+969244,+385476
2000-01-01 00:00:01 PST,+969244,+385476
2000-01-01 00:00:02 PST,+969244,+385476
2000-01-01 00:00:03 PST,+969244,+385476
2000-01-01 00:00:04 PST,+969244,+385476
2000-01-01 00:00:05 PST,+969244,+385476
2000-01-01 00:00:06 PST,+969244,+385476
2000-01-01 00:00:07 PST,+969244,+385476
2000-01-01 00:00:08 PST,+969244,+385476
2000-01-01 00:00:09 PST,+969244,+385476
2000-01-01 00:00:10 PST,+969244,+385476
2000-01-01 00:00:11 PST,+969244,+385476
2000-01-01 00:00:12 PST,+969244,+385476
2000-01-01 00:00:13 PST,+969244,+385476
2000-01-01 00:00:14 PST,+969244,+385476
2000-01-01 00:00:15 PST,+969244,+385476
2000-01-01 00:00:16 PST,+969244,+385476
2000-01-01 00:00:17 PST,+969244,+385476
2000-01-01 00:00:18 PST,+969244,+385476
2000-01-01 00:00:19 PST,+969244,+385476
2000-01-01 00:00:20 PST,+969244,+385476
2000-01-01 00:00:21 PST,+969244,+385476
2000-01-01 00:00:22 PST,+969244,+385476
2000-01-01 00:00:23 PST,+969244,+385476
2000-01-01 00:00:24 PST,+969244,+385476
2000-01-01 00:00:25 PST,+969244,+385476
2000-01-01 00:00:26 PST,+969244,+385476
2000-01-01 00:00:27 PST,+969244,+385476
2000-01-01 00:00:28 PST,+969244,+385476
2000-01-01 00:00:29 PST,+969244,+385476
2000-01-01 00:00:30 PST,+969244,+385476
2000-01-01 00:00:31 PST,+969244,+385476
2000-01-01 00:00:32 PST,+969244,+385476
2000-01-01 00:00:33 PST,+969244,+385476
2000-01-01 00:00:34 PST,+969244,+385476
2000-01-01 00:00:35 PST,+969244,+385476
2000-01-01 00:00:36 PST,+969244,+385476
2000-01-01 00:00:37 PST,+969244,+385476
2000-01-01 00:00:38 PST,+969244,+385476
2000-01-01 00:00:39 PST,+969244,+385476
2000-01-01 00:00:40 PST,+969244,+385476
2000-01-01 00:00:41 PST,+969244,+385476
2000-01-01 00:00:42 PST,+969244,+385476
2000-01-01 00:00:43 PST,+969244,+385476
2000-01-01 00:00:44 PST,+969244,+385476
2000-01-01 00:00:45 PST,+969244,+385476
2000-01-01 00:00:46 PST,+969244,+385476
2000-01-01 00:00:47 PST,+969244,+385476
2000-01-01 00:00:48 PST,+969244,+385476
2000-01-01 00:00:49 PST,+969244,+385476
2000-01-01 00:00:50 PST,+969244,+385476
2000-01-01 00:00:51 PST,+969244,+385476
2000-01-01 00:00:52 PST,+969244,+385476
2000-01-01 00:00:53 PST,+969244,+385476
2000-01-01 00:00:54 PST,+969244,+385476
2000-01-01 00:00:55 PST,+969244,+385476
2000-01-01 00:00:56 PST,+969244,+385476
2000-01-01 00:00:57 PST,+969244,+385476
2000-01-01 00:00:58 PST,+969244,+385476
2000-01-01 00:00:59 PST,+969244,+385476
