# file...... superHouseHeatCool.csv
# date...... Sun Dec  9 11:33:46 2018
# user...... dpinney
# host...... (null)
# target.... house 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand, cooling_demand
2012-01-01 12:00:00 EST,+7.59073,+2.98404
2012-01-01 12:01:00 EST,+7.59261,+2.98555
2012-01-01 12:02:00 EST,+7.59448,+2.98704
2012-01-01 12:03:00 EST,+7.59632,+2.98851
2012-01-01 12:04:00 EST,+7.59814,+2.98996
2012-01-01 12:05:00 EST,+7.59994,+2.9914
2012-01-01 12:06:00 EST,+7.60172,+2.99282
2012-01-01 12:07:00 EST,+7.60349,+2.99422
2012-01-01 12:08:00 EST,+7.60523,+2.99561
2012-01-01 12:09:00 EST,+7.60695,+2.99698
2012-01-01 12:10:00 EST,+7.60865,+2.99833
2012-01-01 12:11:00 EST,+7.61033,+2.99966
2012-01-01 12:12:00 EST,+7.61199,+3.00098
2012-01-01 12:13:00 EST,+7.61363,+3.00228
2012-01-01 12:14:00 EST,+7.61525,+3.00356
2012-01-01 12:15:00 EST,+7.61685,+3.00483
2012-01-01 12:16:00 EST,+7.61843,+3.00608
2012-01-01 12:17:00 EST,+7.61999,+3.00731
2012-01-01 12:18:00 EST,+7.62153,+3.00852
2012-01-01 12:19:00 EST,+7.62304,+3.00972
2012-01-01 12:20:00 EST,+7.62454,+3.0109
2012-01-01 12:21:00 EST,+7.62602,+3.01207
2012-01-01 12:22:00 EST,+7.62747,+3.01321
2012-01-01 12:23:00 EST,+7.62891,+3.01434
2012-01-01 12:24:00 EST,+7.63032,+3.01546
2012-01-01 12:25:00 EST,+7.63171,+3.01655
2012-01-01 12:26:00 EST,+7.63309,+3.01763
2012-01-01 12:27:00 EST,+7.63444,+3.01869
2012-01-01 12:28:00 EST,+7.63577,+3.01974
2012-01-01 12:29:00 EST,+7.63708,+3.02077
2012-01-01 12:30:00 EST,+7.63837,+3.02178
2012-01-01 12:31:00 EST,+7.63964,+3.02277
2012-01-01 12:32:00 EST,+7.64088,+3.02375
2012-01-01 12:33:00 EST,+7.64211,+3.02471
2012-01-01 12:34:00 EST,+7.64332,+3.02565
2012-01-01 12:35:00 EST,+7.6445,+3.02658
2012-01-01 12:36:00 EST,+7.64567,+3.02749
2012-01-01 12:37:00 EST,+7.64681,+3.02838
2012-01-01 12:38:00 EST,+7.64793,+3.02926
2012-01-01 12:39:00 EST,+7.64903,+3.03012
2012-01-01 12:40:00 EST,+7.65011,+3.03096
2012-01-01 12:41:00 EST,+7.65117,+3.03179
2012-01-01 12:42:00 EST,+7.65221,+3.0326
2012-01-01 12:43:00 EST,+7.65323,+3.03339
2012-01-01 12:44:00 EST,+7.65422,+3.03417
2012-01-01 12:45:00 EST,+7.6552,+3.03492
2012-01-01 12:46:00 EST,+7.65615,+3.03567
2012-01-01 12:47:00 EST,+7.65708,+3.03639
2012-01-01 12:48:00 EST,+7.65799,+3.0371
2012-01-01 12:49:00 EST,+7.65888,+3.03779
2012-01-01 12:50:00 EST,+7.65975,+3.03847
2012-01-01 12:51:00 EST,+7.6606,+3.03912
2012-01-01 12:52:00 EST,+7.66142,+3.03977
2012-01-01 12:53:00 EST,+7.66223,+3.04039
2012-01-01 12:54:00 EST,+7.66301,+3.041
2012-01-01 12:55:00 EST,+7.66377,+3.04159
2012-01-01 12:56:00 EST,+7.66451,+3.04216
2012-01-01 12:57:00 EST,+7.66523,+3.04272
2012-01-01 12:58:00 EST,+7.66593,+3.04326
2012-01-01 12:59:00 EST,+7.66661,+3.04379
2012-01-01 13:00:00 EST,+7.66726,+3.0443
2012-01-01 13:01:00 EST,+7.66726,+3.0443
2012-01-01 13:02:00 EST,+7.66726,+3.0443
2012-01-01 13:03:00 EST,+7.66726,+3.0443
2012-01-01 13:04:00 EST,+7.66726,+3.0443
2012-01-01 13:05:00 EST,+7.66726,+3.0443
2012-01-01 13:06:00 EST,+7.66726,+3.0443
2012-01-01 13:07:00 EST,+7.66726,+3.0443
2012-01-01 13:08:00 EST,+7.66726,+3.0443
2012-01-01 13:09:00 EST,+7.66726,+3.0443
2012-01-01 13:10:00 EST,+7.66726,+3.0443
2012-01-01 13:11:00 EST,+7.66726,+3.0443
2012-01-01 13:12:00 EST,+7.66726,+3.0443
2012-01-01 13:13:00 EST,+7.66726,+3.0443
2012-01-01 13:14:00 EST,+7.66726,+3.0443
2012-01-01 13:15:00 EST,+7.66726,+3.0443
2012-01-01 13:16:00 EST,+7.66726,+3.0443
2012-01-01 13:17:00 EST,+7.66726,+3.0443
2012-01-01 13:18:00 EST,+7.66726,+3.0443
2012-01-01 13:19:00 EST,+7.66726,+3.0443
2012-01-01 13:20:00 EST,+7.66726,+3.0443
2012-01-01 13:21:00 EST,+7.66726,+3.0443
2012-01-01 13:22:00 EST,+7.66726,+3.0443
2012-01-01 13:23:00 EST,+7.66726,+3.0443
2012-01-01 13:24:00 EST,+7.66726,+3.0443
2012-01-01 13:25:00 EST,+7.66726,+3.0443
2012-01-01 13:26:00 EST,+7.66726,+3.0443
2012-01-01 13:27:00 EST,+7.66726,+3.0443
2012-01-01 13:28:00 EST,+7.66726,+3.0443
2012-01-01 13:29:00 EST,+7.66726,+3.0443
2012-01-01 13:30:00 EST,+7.66726,+3.0443
2012-01-01 13:31:00 EST,+7.66726,+3.0443
2012-01-01 13:32:00 EST,+7.66726,+3.0443
2012-01-01 13:33:00 EST,+7.66726,+3.0443
2012-01-01 13:34:00 EST,+7.66726,+3.0443
2012-01-01 13:35:00 EST,+7.66726,+3.0443
2012-01-01 13:36:00 EST,+7.66726,+3.0443
2012-01-01 13:37:00 EST,+7.66726,+3.0443
2012-01-01 13:38:00 EST,+7.66726,+3.0443
2012-01-01 13:39:00 EST,+7.66726,+3.0443
2012-01-01 13:40:00 EST,+7.66726,+3.0443
2012-01-01 13:41:00 EST,+7.66726,+3.0443
2012-01-01 13:42:00 EST,+7.66726,+3.0443
2012-01-01 13:43:00 EST,+7.66726,+3.0443
2012-01-01 13:44:00 EST,+7.66726,+3.0443
2012-01-01 13:45:00 EST,+7.66726,+3.0443
2012-01-01 13:46:00 EST,+7.66726,+3.0443
2012-01-01 13:47:00 EST,+7.66726,+3.0443
2012-01-01 13:48:00 EST,+7.66726,+3.0443
2012-01-01 13:49:00 EST,+7.66726,+3.0443
2012-01-01 13:50:00 EST,+7.66726,+3.0443
2012-01-01 13:51:00 EST,+7.66726,+3.0443
2012-01-01 13:52:00 EST,+7.66726,+3.0443
2012-01-01 13:53:00 EST,+7.66726,+3.0443
2012-01-01 13:54:00 EST,+7.66726,+3.0443
2012-01-01 13:55:00 EST,+7.66726,+3.0443
2012-01-01 13:56:00 EST,+7.66726,+3.0443
2012-01-01 13:57:00 EST,+7.66726,+3.0443
2012-01-01 13:58:00 EST,+7.66726,+3.0443
2012-01-01 13:59:00 EST,+7.66726,+3.0443
2012-01-01 14:00:00 EST,+7.66726,+3.0443
2012-01-01 14:01:00 EST,+7.66906,+3.04569
2012-01-01 14:02:00 EST,+7.6708,+3.04703
2012-01-01 14:03:00 EST,+7.67248,+3.04833
2012-01-01 14:04:00 EST,+7.67409,+3.04958
2012-01-01 14:05:00 EST,+7.67565,+3.05078
2012-01-01 14:06:00 EST,+7.67714,+3.05193
2012-01-01 14:07:00 EST,+7.67858,+3.05304
2012-01-01 14:08:00 EST,+7.67995,+3.0541
2012-01-01 14:09:00 EST,+7.68127,+3.05511
2012-01-01 14:10:00 EST,+7.68252,+3.05607
2012-01-01 14:11:00 EST,+7.68371,+3.05699
2012-01-01 14:12:00 EST,+7.68485,+3.05786
2012-01-01 14:13:00 EST,+7.68592,+3.05869
2012-01-01 14:14:00 EST,+7.68693,+3.05946
2012-01-01 14:15:00 EST,+7.68788,+3.06019
2012-01-01 14:16:00 EST,+7.68876,+3.06087
2012-01-01 14:17:00 EST,+7.68959,+3.06151
2012-01-01 14:18:00 EST,+7.69036,+3.06209
2012-01-01 14:19:00 EST,+7.69106,+3.06264
2012-01-01 14:20:00 EST,+7.69171,+3.06313
2012-01-01 14:21:00 EST,+7.69229,+3.06358
2012-01-01 14:22:00 EST,+7.69281,+3.06397
2012-01-01 14:23:00 EST,+7.69327,+3.06433
2012-01-01 14:24:00 EST,+7.69367,+3.06463
2012-01-01 14:25:00 EST,+7.69401,+3.06489
2012-01-01 14:26:00 EST,+7.69428,+3.0651
2012-01-01 14:27:00 EST,+7.6945,+3.06527
2012-01-01 14:28:00 EST,+7.69465,+3.06538
2012-01-01 14:29:00 EST,+7.69474,+3.06546
2012-01-01 14:30:00 EST,+7.69477,+3.06548
2012-01-01 14:31:00 EST,+7.69474,+3.06546
2012-01-01 14:32:00 EST,+7.69465,+3.06538
