, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
BUS1015,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS1016,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS1017,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2001,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2002,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2003,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2004,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2005,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.00012304845156097148,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2006,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2007,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2008,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2009,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2010,100.0,0.0,0.0,0.0,100.0,0.0,0.00012308767904910188,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2011,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2012,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2013,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
BUS2014,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2015,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2016,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2017,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2018,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2019,100.0,0.0,0.0,0.0,100.0,0.0,0.00012310631708024167,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2020,100.0,0.0,0.0001231076810602314,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2021,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2022,100.0,0.0,0.000123064503020111,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2023,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS2024,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
