"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "12.5 kV Losses", "0.415 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "12.5 kV Line Loss", "0.415 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "12.5 kV Load Loss", "0.415 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "12.5 kV No Load Loss", "0.415 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "12.5 kV Load Energy", "0.415 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
1, 3406.53, 1504.11, 3406.53, 3723.82, 3323.59, 1368.48, 3323.59, 3594.3, 0, 0, 0, 0, 82.9371, 135.633, 82.9371, 135.633, 40.3731, 50.5054, 42.564, 85.1279, 40.3731, 42.564, 25.6756, 57.2615, 16.7791, 1.07199, 17.8511, 7.8245, 0, 0, 0, 0, 78.5077, 4.4294, 0, 0, 0, 0, 0, 21.2462, 4.4294, 0, 0, 0, 0, 0, 14.6975, 0, 0, 0, 0, 0, 0, 42.564, 0, 0, 0, 0, 0, 0, 0, 3323.59, 0, 0, 0, 0, 0
2, 3025.61, 1346.66, 3406.53, 3723.82, 2950.64, 1225.33, 3323.59, 3594.3, 0, 0, 0, 0, 74.7203, 122.122, 82.9371, 135.633, 31.8756, 36.4323, 42.8447, 85.6893, 40.3731, 42.8447, 20.2812, 54.4391, 13.2536, 0.852615, 14.1062, 6.17496, 0, 0, 0, 0, 71.2166, 3.50374, 0, 0, 0, 0, 0, 16.7775, 3.50374, 0, 0, 0, 0, 0, 11.5944, 0, 0, 0, 0, 0, 0, 42.8447, 0, 0, 0, 0, 0, 0, 0, 2950.64, 0, 0, 0, 0, 0
3, 2618.67, 1177.19, 3406.53, 3723.82, 2551.36, 1068.55, 3323.59, 3594.3, 0, 0, 0, 0, 67.0418, 109.52, 82.9371, 135.633, 23.8966, 23.2301, 43.1452, 86.2903, 40.3731, 43.1452, 15.2123, 51.8295, 9.94348, 0.641134, 10.5846, 4.62769, 0, 0, 0, 0, 64.4174, 2.6244, 0, 0, 0, 0, 0, 12.5879, 2.6244, 0, 0, 0, 0, 0, 8.68434, 0, 0, 0, 0, 0, 0, 43.1452, 0, 0, 0, 0, 0, 0, 0, 2551.36, 0, 0, 0, 0, 0
4, 2407.63, 1088.88, 3406.53, 3723.82, 2343.94, 985.57, 3323.59, 3594.3, 0, 0, 0, 0, 63.5556, 103.776, 82.9371, 135.633, 20.2546, 17.1739, 43.301, 86.602, 40.3731, 43.301, 12.8941, 50.6615, 8.42246, 0.544642, 8.9671, 3.92699, 0, 0, 0, 0, 61.3247, 2.23084, 0, 0, 0, 0, 0, 10.6632, 2.23084, 0, 0, 0, 0, 0, 7.36047, 0, 0, 0, 0, 0, 0, 43.301, 0, 0, 0, 0, 0, 0, 0, 2343.94, 0, 0, 0, 0, 0
5, 2271.27, 1031.62, 3406.53, 3723.82, 2209.73, 931.591, 3323.59, 3594.3, 0, 0, 0, 0, 61.461, 100.332, 82.9371, 135.633, 18.059, 13.5282, 43.4019, 86.8039, 40.3731, 43.4019, 11.4935, 49.9674, 7.50476, 0.48619, 7.99095, 3.50259, 0, 0, 0, 0, 59.4684, 1.99255, 0, 0, 0, 0, 0, 9.50098, 1.99255, 0, 0, 0, 0, 0, 6.56551, 0, 0, 0, 0, 0, 0, 43.4019, 0, 0, 0, 0, 0, 0, 0, 2209.73, 0, 0, 0, 0, 0
6, 2171.32, 989.531, 3406.53, 3723.82, 2111.23, 891.795, 3323.59, 3594.3, 0, 0, 0, 0, 60.0306, 97.9631, 82.9371, 135.633, 16.5548, 11.0115, 43.4758, 86.9516, 40.3731, 43.4758, 10.5324, 49.4982, 6.87022, 0.445556, 7.31577, 3.21659, 0, 0, 0, 0, 58.198, 1.83258, 0, 0, 0, 0, 0, 8.69979, 1.83258, 0, 0, 0, 0, 0, 6.02239, 0, 0, 0, 0, 0, 0, 43.4758, 0, 0, 0, 0, 0, 0, 0, 2111.23, 0, 0, 0, 0, 0
7, 2113.62, 965.218, 3406.53, 3723.82, 2054.3, 868.663, 3323.59, 3594.3, 0, 0, 0, 0, 59.2777, 96.6871, 82.9371, 135.633, 15.7596, 9.65074, 43.5182, 87.0363, 40.3731, 43.5182, 10.0171, 49.2607, 6.52214, 0.42182, 6.94396, 3.07311, 0, 0, 0, 0, 57.5272, 1.75048, 0, 0, 0, 0, 0, 8.26659, 1.75048, 0, 0, 0, 0, 0, 5.7425, 0, 0, 0, 0, 0, 0, 43.5182, 0, 0, 0, 0, 0, 0, 0, 2054.3, 0, 0, 0, 0, 0
8, 2221.93, 1010.96, 3406.53, 3723.82, 2161.02, 911.338, 3323.59, 3594.3, 0, 0, 0, 0, 60.9746, 99.3672, 82.9371, 135.633, 17.5374, 12.4928, 43.4372, 86.8744, 40.3731, 43.5182, 11.1257, 49.8489, 7.21826, 0.466572, 7.68483, 3.44088, 0, 0, 0, 0, 59.0075, 1.96712, 0, 0, 0, 0, 0, 9.1586, 1.96712, 0, 0, 0, 0, 0, 6.41167, 0, 0, 0, 0, 0, 0, 43.4372, 0, 0, 0, 0, 0, 0, 0, 2161.02, 0, 0, 0, 0, 0
9, 2661.26, 1195.17, 3406.53, 3723.82, 2593.23, 1082.98, 3323.59, 3594.3, 0, 0, 0, 0, 68.3043, 111.229, 82.9371, 135.633, 25.1929, 25.0059, 43.1114, 86.2227, 40.3731, 43.5182, 15.9827, 52.3216, 10.3489, 0.669043, 11.018, 4.9647, 0, 0, 0, 0, 65.4596, 2.84473, 0, 0, 0, 0, 0, 13.1379, 2.84473, 0, 0, 0, 0, 0, 9.21026, 0, 0, 0, 0, 0, 0, 43.1114, 0, 0, 0, 0, 0, 0, 0, 2593.23, 0, 0, 0, 0, 0
10, 3188.38, 1413.95, 3406.53, 3723.82, 3110.07, 1284.7, 3323.59, 3594.3, 0, 0, 0, 0, 78.6585, 128.17, 82.9371, 135.633, 35.9362, 42.7252, 42.7223, 85.4445, 40.3731, 43.5182, 22.8509, 55.8076, 14.8264, 0.954642, 15.781, 7.06986, 0, 0, 0, 0, 74.6269, 4.03157, 0, 0, 0, 0, 0, 18.8193, 4.03157, 0, 0, 0, 0, 0, 13.0853, 0, 0, 0, 0, 0, 0, 42.7223, 0, 0, 0, 0, 0, 0, 0, 3110.07, 0, 0, 0, 0, 0
11, 3646.01, 1602.19, 3646.01, 3982.51, 3557.21, 1455.92, 3557.21, 3843.63, 0, 0, 0, 0, 89.1196, 145.383, 89.1196, 145.383, 46.7341, 60.6118, 42.3855, 84.771, 46.7341, 43.5182, 29.7669, 59.3527, 19.3582, 1.23987, 20.598, 9.16889, 0, 0, 0, 0, 83.918, 5.20167, 0, 0, 0, 0, 0, 24.5652, 5.20167, 0, 0, 0, 0, 0, 16.9672, 0, 0, 0, 0, 0, 0, 42.3855, 0, 0, 0, 0, 0, 0, 0, 3557.21, 0, 0, 0, 0, 0
12, 4223.94, 1837.84, 4223.94, 4606.44, 4119.4, 1667.13, 4119.4, 4443.96, 0, 0, 0, 0, 104.543, 170.718, 104.543, 170.718, 62.5815, 86.7965, 41.961, 83.922, 62.5815, 43.5182, 39.8925, 64.6501, 25.9769, 1.65829, 27.6352, 12.2573, 0, 0, 0, 0, 97.6022, 6.94031, 0, 0, 0, 0, 0, 32.9521, 6.94031, 0, 0, 0, 0, 0, 22.689, 0, 0, 0, 0, 0, 0, 41.961, 0, 0, 0, 0, 0, 0, 0, 4119.4, 0, 0, 0, 0, 0
13, 4952.03, 2131.15, 4952.03, 5391.14, 4824.58, 1922.8, 4824.58, 5193.62, 0, 0, 0, 0, 127.47, 208.37, 127.47, 208.37, 86.0418, 125.514, 41.4279, 82.8557, 86.0418, 43.5182, 54.8434, 72.6263, 35.7395, 2.27434, 38.0138, 16.8296, 0, 0, 0, 0, 117.942, 9.52816, 0, 0, 0, 0, 0, 45.3152, 9.52816, 0, 0, 0, 0, 0, 31.1984, 0, 0, 0, 0, 0, 0, 41.4279, 0, 0, 0, 0, 0, 0, 0, 4824.58, 0, 0, 0, 0, 0
14, 5178.4, 2221.41, 5178.4, 5634.76, 5043.21, 1999.68, 5043.21, 5425.19, 0.517002, 0, 0.515355, 0, 135.387, 221.394, 135.387, 221.394, 94.1244, 138.868, 41.2629, 82.5257, 94.1244, 43.5182, 59.9688, 75.4185, 39.0887, 2.4873, 41.576, 18.3928, 0, 0, 0, 0, 124.963, 10.4242, 0, 0, 0, 0, 0, 49.5446, 10.4242, 0, 0, 0, 0, 0, 34.1556, 0, 0, 0, 0, 0, 0, 41.2629, 0, 0, 0, 0, 0, 0, 0, 5043.21, 0, 0, 0, 0, 0
15, 5356.38, 2292.3, 5356.38, 5826.27, 5214.65, 2059.93, 5214.65, 5606.77, 1.5881, 0, 1.64631, 0, 141.895, 232.113, 141.895, 232.113, 100.762, 149.846, 41.1333, 82.2665, 100.762, 43.5182, 64.1425, 77.7524, 41.815, 2.66066, 44.4757, 19.6668, 0, 0, 0, 0, 130.732, 11.1625, 0, 0, 0, 0, 0, 52.98, 11.1625, 0, 0, 0, 0, 0, 36.6191, 0, 0, 0, 0, 0, 0, 41.1333, 0, 0, 0, 0, 0, 0, 0, 5214.65, 0, 0, 0, 0, 0
16, 5773.14, 2457.5, 5773.14, 6274.42, 5614.98, 2198.68, 5614.98, 6030.11, 3.95953, 0, 4.45393, 0, 158.17, 258.819, 158.17, 258.819, 117.341, 177.16, 40.8294, 81.6589, 117.341, 43.5182, 74.5807, 83.5894, 48.6079, 3.08769, 51.6956, 22.8852, 0, 0, 0, 0, 145.154, 13.0158, 0, 0, 0, 0, 0, 61.5649, 13.0158, 0, 0, 0, 0, 0, 42.76, 0, 0, 0, 0, 0, 0, 40.8294, 0, 0, 0, 0, 0, 0, 0, 5614.98, 0, 0, 0, 0, 0
17, 5574.09, 2378.89, 5773.14, 6274.42, 5423.62, 2133.26, 5614.98, 6030.11, 2.94914, 0, 3.20628, 0, 150.279, 245.891, 158.17, 258.819, 109.305, 163.941, 40.9749, 81.9497, 117.341, 43.5182, 69.449, 80.8305, 45.2651, 2.88006, 48.1451, 21.3038, 0, 0, 0, 0, 138.153, 12.1268, 0, 0, 0, 0, 0, 57.3221, 12.1268, 0, 0, 0, 0, 0, 39.8556, 0, 0, 0, 0, 0, 0, 40.9749, 0, 0, 0, 0, 0, 0, 0, 5423.62, 0, 0, 0, 0, 0
18, 4905.62, 2112.53, 5773.14, 6274.42, 4779.77, 1906.66, 5614.98, 6030.11, 0, 0, 0, 0, 125.84, 205.856, 158.17, 258.819, 84.3761, 122.929, 41.4637, 82.9275, 117.341, 43.5182, 53.6194, 72.2205, 34.9632, 2.23254, 37.1957, 16.4237, 0, 0, 0, 0, 116.49, 9.3496, 0, 0, 0, 0, 0, 44.2698, 9.3496, 0, 0, 0, 0, 0, 30.7567, 0, 0, 0, 0, 0, 0, 41.4637, 0, 0, 0, 0, 0, 0, 0, 4779.77, 0, 0, 0, 0, 0
19, 4456.03, 1931.99, 5773.14, 6274.42, 4344.41, 1750.76, 5614.98, 6030.11, 0, 0, 0, 0, 111.258, 181.981, 158.17, 258.819, 69.4651, 98.3953, 41.7928, 83.5856, 117.341, 43.5182, 44.1503, 67.1076, 28.801, 1.8418, 30.6428, 13.5075, 0, 0, 0, 0, 103.574, 7.68437, 0, 0, 0, 0, 0, 36.4659, 7.68437, 0, 0, 0, 0, 0, 25.3148, 0, 0, 0, 0, 0, 0, 41.7928, 0, 0, 0, 0, 0, 0, 0, 4344.41, 0, 0, 0, 0, 0
20, 4195.62, 1826.52, 5773.14, 6274.42, 4091.92, 1657.71, 5614.98, 6030.11, 0, 0, 0, 0, 103.489, 169.27, 158.17, 258.819, 61.5053, 85.3018, 41.984, 83.968, 117.341, 43.5182, 39.0824, 64.4068, 25.503, 1.63146, 27.1344, 11.948, 0, 0, 0, 0, 96.6942, 6.79503, 0, 0, 0, 0, 0, 32.2874, 6.79503, 0, 0, 0, 0, 0, 22.4228, 0, 0, 0, 0, 0, 0, 41.984, 0, 0, 0, 0, 0, 0, 0, 4091.92, 0, 0, 0, 0, 0
21, 3982.54, 1739.91, 5773.14, 6274.42, 3884.87, 1580.82, 5614.98, 6030.11, 0, 0, 0, 0, 97.5021, 159.477, 158.17, 258.819, 55.3615, 75.1959, 42.1406, 84.2812, 117.341, 43.5182, 35.1659, 62.3362, 22.9541, 1.46829, 24.4223, 10.7436, 0, 0, 0, 0, 91.3939, 6.10823, 0, 0, 0, 0, 0, 29.0577, 6.10823, 0, 0, 0, 0, 0, 20.1956, 0, 0, 0, 0, 0, 0, 42.1406, 0, 0, 0, 0, 0, 0, 0, 3884.87, 0, 0, 0, 0, 0
22, 3829.8, 1677.6, 5773.14, 6274.42, 3736.26, 1525.08, 5614.98, 6030.11, 0, 0, 0, 0, 93.43, 152.806, 158.17, 258.819, 51.177, 68.2998, 42.253, 84.5059, 117.341, 43.5182, 32.4985, 60.9315, 21.2159, 1.35848, 22.5744, 9.92409, 0, 0, 0, 0, 87.7852, 5.64477, 0, 0, 0, 0, 0, 26.8537, 5.64477, 0, 0, 0, 0, 0, 18.6785, 0, 0, 0, 0, 0, 0, 42.253, 0, 0, 0, 0, 0, 0, 0, 3736.26, 0, 0, 0, 0, 0
23, 3601.44, 1584.2, 5773.14, 6274.42, 3513.69, 1441.38, 5614.98, 6030.11, 0, 0, 0, 0, 87.5874, 143.26, 158.17, 258.819, 45.1667, 58.4182, 42.4207, 84.8414, 117.341, 43.5182, 28.7, 58.8874, 18.7486, 1.19736, 19.9459, 8.75405, 0, 0, 0, 0, 82.624, 4.96341, 0, 0, 0, 0, 0, 23.7366, 4.96341, 0, 0, 0, 0, 0, 16.4667, 0, 0, 0, 0, 0, 0, 42.4207, 0, 0, 0, 0, 0, 0, 0, 3513.69, 0, 0, 0, 0, 0
24, 3166.15, 1404.92, 5773.14, 6274.42, 3088.26, 1278.93, 5614.98, 6030.11, 0, 0, 0, 0, 77.5899, 126.879, 158.17, 258.819, 34.8486, 41.3964, 42.7412, 85.4825, 117.341, 43.5182, 22.1568, 55.433, 14.4868, 0.926009, 15.4128, 6.74401, 0, 0, 0, 0, 73.7738, 3.81604, 0, 0, 0, 0, 0, 18.3408, 3.81604, 0, 0, 0, 0, 0, 12.6918, 0, 0, 0, 0, 0, 0, 42.7412, 0, 0, 0, 0, 0, 0, 0, 3088.26, 0, 0, 0, 0, 0
25, 2711.01, 1215.79, 5773.14, 6274.42, 2642.09, 1104.61, 5614.98, 6030.11, 0, 0, 0, 0, 68.6127, 112.159, 158.17, 258.819, 25.5353, 26.0047, 43.0773, 86.1547, 117.341, 43.5182, 16.2395, 52.3732, 10.6276, 0.681229, 11.3088, 4.93071, 0, 0, 0, 0, 65.8245, 2.78817, 0, 0, 0, 0, 0, 13.4513, 2.78817, 0, 0, 0, 0, 0, 9.29583, 0, 0, 0, 0, 0, 0, 43.0773, 0, 0, 0, 0, 0, 0, 0, 2642.09, 0, 0, 0, 0, 0
26, 2339.36, 1060.15, 5773.14, 6274.42, 2276.75, 959.058, 5614.98, 6030.11, 0, 0, 0, 0, 62.3796, 101.931, 158.17, 258.819, 19.0274, 15.2265, 43.3522, 86.7045, 117.341, 43.5182, 12.1063, 50.2733, 7.92829, 0.50938, 8.43767, 3.66864, 0, 0, 0, 0, 60.3068, 2.07284, 0, 0, 0, 0, 0, 10.0335, 2.07284, 0, 0, 0, 0, 0, 6.92109, 0, 0, 0, 0, 0, 0, 43.3522, 0, 0, 0, 0, 0, 0, 0, 2276.75, 0, 0, 0, 0, 0
27, 2098.14, 958.61, 5773.14, 6274.42, 2039.14, 863.014, 5614.98, 6030.11, 0, 0, 0, 0, 58.8572, 96.1518, 158.17, 258.819, 15.3262, 9.08993, 43.531, 87.0619, 117.341, 43.531, 9.75056, 49.1066, 6.3886, 0.411257, 6.79986, 2.9507, 0, 0, 0, 0, 57.1895, 1.66764, 0, 0, 0, 0, 0, 8.08292, 1.66764, 0, 0, 0, 0, 0, 5.57564, 0, 0, 0, 0, 0, 0, 43.531, 0, 0, 0, 0, 0, 0, 0, 2039.14, 0, 0, 0, 0, 0
28, 1961.53, 900.933, 5773.14, 6274.42, 1904.4, 808.066, 5614.98, 6030.11, 0, 0, 0, 0, 57.053, 93.1841, 158.17, 258.819, 13.4209, 5.91979, 43.6322, 87.2643, 117.341, 43.6322, 8.53774, 48.5153, 5.59352, 0.360822, 5.95434, 2.5834, 0, 0, 0, 0, 55.5914, 1.46168, 0, 0, 0, 0, 0, 7.07606, 1.46168, 0, 0, 0, 0, 0, 4.88313, 0, 0, 0, 0, 0, 0, 43.6322, 0, 0, 0, 0, 0, 0, 0, 1904.4, 0, 0, 0, 0, 0
29, 1933.41, 889.068, 5773.14, 6274.42, 1876.61, 796.454, 5614.98, 6030.11, 0, 0, 0, 0, 56.7763, 92.6746, 158.17, 258.819, 13.1235, 5.36886, 43.6528, 87.3057, 117.341, 43.6528, 8.34058, 48.4357, 5.44874, 0.355335, 5.80407, 2.53651, 0, 0, 0, 0, 55.326, 1.45031, 0, 0, 0, 0, 0, 6.89027, 1.45031, 0, 0, 0, 0, 0, 4.78289, 0, 0, 0, 0, 0, 0, 43.6528, 0, 0, 0, 0, 0, 0, 0, 1876.61, 0, 0, 0, 0, 0
30, 1933.63, 889.2, 5773.14, 6274.42, 1876.86, 796.527, 5614.98, 6030.11, 0, 0, 0, 0, 56.7709, 92.6708, 158.17, 258.819, 13.1183, 5.36558, 43.6526, 87.3052, 117.341, 43.6528, 8.33889, 48.432, 5.44927, 0.354858, 5.80413, 2.53476, 0, 0, 0, 0, 55.3236, 1.44725, 0, 0, 0, 0, 0, 6.89164, 1.44725, 0, 0, 0, 0, 0, 4.77937, 0, 0, 0, 0, 0, 0, 43.6526, 0, 0, 0, 0, 0, 0, 0, 1876.86, 0, 0, 0, 0, 0
31, 2169.07, 988.877, 5773.14, 6274.42, 2109.29, 890.48, 5614.98, 6030.11, 0, 0, 0, 0, 59.9247, 97.8533, 158.17, 258.819, 16.4469, 10.8976, 43.4778, 86.9557, 117.341, 43.6528, 10.4583, 49.4665, 6.83777, 0.443964, 7.28173, 3.17652, 0, 0, 0, 0, 58.1151, 1.80966, 0, 0, 0, 0, 0, 8.64859, 1.80966, 0, 0, 0, 0, 0, 5.98865, 0, 0, 0, 0, 0, 0, 43.4778, 0, 0, 0, 0, 0, 0, 0, 2109.29, 0, 0, 0, 0, 0
32, 2392.56, 1082.85, 5773.14, 6274.42, 2329.41, 978.991, 5614.98, 6030.11, 0, 0, 0, 0, 63.2881, 103.358, 158.17, 258.819, 19.9763, 16.7341, 43.3119, 86.6238, 117.341, 43.6528, 12.7191, 50.569, 8.31374, 0.536022, 8.84976, 3.86938, 0, 0, 0, 0, 61.0957, 2.19247, 0, 0, 0, 0, 0, 10.5267, 2.19247, 0, 0, 0, 0, 0, 7.25712, 0, 0, 0, 0, 0, 0, 43.3119, 0, 0, 0, 0, 0, 0, 0, 2329.41, 0, 0, 0, 0, 0
33, 2324.92, 1054.23, 5773.14, 6274.42, 2262.55, 952.677, 5614.98, 6030.11, 0, 0, 0, 0, 62.3249, 101.708, 158.17, 258.819, 18.9633, 14.9848, 43.3616, 86.7231, 117.341, 43.6528, 12.0687, 50.2562, 7.87049, 0.506392, 8.37688, 3.69185, 0, 0, 0, 0, 60.2333, 2.09165, 0, 0, 0, 0, 0, 9.97709, 2.09165, 0, 0, 0, 0, 0, 6.89461, 0, 0, 0, 0, 0, 0, 43.3616, 0, 0, 0, 0, 0, 0, 0, 2262.55, 0, 0, 0, 0, 0
34, 2536.89, 1143.26, 5773.14, 6274.42, 2471.21, 1035.42, 5614.98, 6030.11, 0, 0, 0, 0, 65.8154, 107.375, 158.17, 258.819, 22.6112, 20.9665, 43.2041, 86.4082, 117.341, 43.6528, 14.3877, 51.4277, 9.37052, 0.601646, 9.97216, 4.41554, 0, 0, 0, 0, 63.3136, 2.50172, 0, 0, 0, 0, 0, 11.886, 2.50172, 0, 0, 0, 0, 0, 8.22354, 0, 0, 0, 0, 0, 0, 43.2041, 0, 0, 0, 0, 0, 0, 0, 2471.21, 0, 0, 0, 0, 0
35, 2720.36, 1219.86, 5773.14, 6274.42, 2651.41, 1106.79, 5614.98, 6030.11, 0, 0, 0, 0, 69.067, 112.674, 158.17, 258.819, 25.9987, 26.5378, 43.0683, 86.1365, 117.341, 43.6528, 16.5436, 52.5234, 10.77, 0.689404, 11.4594, 5.08425, 0, 0, 0, 0, 66.1905, 2.87652, 0, 0, 0, 0, 0, 13.6671, 2.87652, 0, 0, 0, 0, 0, 9.45514, 0, 0, 0, 0, 0, 0, 43.0683, 0, 0, 0, 0, 0, 0, 0, 2651.41, 0, 0, 0, 0, 0
36, 3113.85, 1383.3, 5773.14, 6274.42, 3037.34, 1257.2, 5614.98, 6030.11, 0, 0, 0, 0, 76.7664, 125.282, 158.17, 258.819, 33.9888, 39.7263, 42.7776, 85.5553, 117.341, 43.6528, 21.6438, 55.1226, 14.0953, 0.898928, 14.9942, 6.64962, 0, 0, 0, 0, 73.0123, 3.75411, 0, 0, 0, 0, 0, 17.8897, 3.75411, 0, 0, 0, 0, 0, 12.345, 0, 0, 0, 0, 0, 0, 42.7776, 0, 0, 0, 0, 0, 0, 0, 3037.34, 0, 0, 0, 0, 0
37, 3753.89, 1646.41, 5773.14, 6274.42, 3662.8, 1495.64, 5614.98, 6030.11, 0, 0, 0, 0, 91.5369, 149.554, 158.17, 258.819, 49.2301, 64.9402, 42.3068, 84.6137, 117.341, 43.6528, 31.3791, 60.1578, 20.4613, 1.30129, 21.7626, 9.61655, 0, 0, 0, 0, 86.1139, 5.42304, 0, 0, 0, 0, 0, 25.9561, 5.42304, 0, 0, 0, 0, 0, 17.8509, 0, 0, 0, 0, 0, 0, 42.3068, 0, 0, 0, 0, 0, 0, 0, 3662.8, 0, 0, 0, 0, 0
38, 4289.17, 1864.14, 5773.14, 6274.42, 4183.39, 1689.6, 5614.98, 6030.11, 0, 0, 0, 0, 106.182, 173.609, 158.17, 258.819, 64.2676, 89.7804, 41.9141, 83.8283, 117.341, 43.6528, 40.9578, 65.224, 26.7166, 1.69615, 28.4128, 12.545, 0, 0, 0, 0, 99.1022, 7.07959, 0, 0, 0, 0, 0, 33.8782, 7.07959, 0, 0, 0, 0, 0, 23.3098, 0, 0, 0, 0, 0, 0, 41.9141, 0, 0, 0, 0, 0, 0, 0, 4183.39, 0, 0, 0, 0, 0
39, 4669.44, 2017.64, 5773.14, 6274.42, 4551.88, 1824.21, 5614.98, 6030.11, 0, 0, 0, 0, 117.873, 192.81, 158.17, 258.819, 76.2369, 109.539, 41.6357, 83.2714, 117.341, 43.6528, 48.5593, 69.3133, 31.6767, 2.00892, 33.6856, 14.8737, 0, 0, 0, 0, 109.469, 8.40371, 0, 0, 0, 0, 0, 40.1556, 8.40371, 0, 0, 0, 0, 0, 27.6776, 0, 0, 0, 0, 0, 0, 41.6357, 0, 0, 0, 0, 0, 0, 0, 4551.88, 0, 0, 0, 0, 0
40, 4965.96, 2136.64, 5773.14, 6274.42, 4838.48, 1927.18, 5614.98, 6030.11, 0, 0, 0, 0, 127.734, 209.001, 158.17, 258.819, 86.3154, 126.164, 41.4188, 82.8375, 117.341, 43.6528, 54.9526, 72.7815, 35.8434, 2.26786, 38.1112, 16.8414, 0, 0, 0, 0, 118.217, 9.51698, 0, 0, 0, 0, 0, 45.4357, 9.51698, 0, 0, 0, 0, 0, 31.3627, 0, 0, 0, 0, 0, 0, 41.4188, 0, 0, 0, 0, 0, 0, 0, 4838.48, 0, 0, 0, 0, 0
41, 5248.31, 2249.32, 5773.14, 6274.42, 5110.77, 2023.4, 5614.98, 6030.11, 1.14088, 0, 1.16374, 0, 137.794, 225.504, 158.17, 258.819, 96.5813, 143.078, 41.2128, 82.4256, 117.341, 43.6528, 61.423, 76.3711, 40.0553, 2.5364, 42.5917, 18.8313, 0, 0, 0, 0, 127.124, 10.6697, 0, 0, 0, 0, 0, 50.7533, 10.6697, 0, 0, 0, 0, 0, 35.1583, 0, 0, 0, 0, 0, 0, 41.2128, 0, 0, 0, 0, 0, 0, 0, 5110.77, 0, 0, 0, 0, 0
42, 5303.26, 2271.29, 5773.14, 6274.42, 5163.41, 2042.27, 5614.98, 6030.11, 1.54769, 0, 1.60204, 0, 139.896, 228.943, 158.17, 258.819, 98.7234, 146.597, 41.173, 82.346, 117.341, 43.6528, 62.7126, 77.1838, 40.8872, 2.59399, 43.4812, 19.2314, 0, 0, 0, 0, 128.97, 10.9261, 0, 0, 0, 0, 0, 51.7865, 10.9261, 0, 0, 0, 0, 0, 36.0108, 0, 0, 0, 0, 0, 0, 41.173, 0, 0, 0, 0, 0, 0, 0, 5163.41, 0, 0, 0, 0, 0
43, 5500.05, 2349.34, 5773.14, 6274.42, 5352.83, 2107.84, 5614.98, 6030.11, 2.66255, 0, 2.8666, 0, 147.4, 241.221, 158.17, 258.819, 106.37, 159.162, 41.0297, 82.0593, 117.341, 43.6528, 67.5097, 79.8901, 43.9996, 2.79198, 46.7916, 20.7181, 0, 0, 0, 0, 135.607, 11.7923, 0, 0, 0, 0, 0, 55.7173, 11.7923, 0, 0, 0, 0, 0, 38.8604, 0, 0, 0, 0, 0, 0, 41.0297, 0, 0, 0, 0, 0, 0, 0, 5352.83, 0, 0, 0, 0, 0
44, 5387.26, 2304.75, 5773.14, 6274.42, 5243.99, 2070.62, 5614.98, 6030.11, 2.13549, 0, 2.25707, 0, 143.169, 234.281, 158.17, 258.819, 102.057, 152.057, 41.1122, 82.2243, 117.341, 43.6528, 64.7182, 78.451, 42.1745, 2.67868, 44.8532, 19.865, 0, 0, 0, 0, 131.847, 11.3218, 0, 0, 0, 0, 0, 53.3964, 11.3218, 0, 0, 0, 0, 0, 37.3388, 0, 0, 0, 0, 0, 0, 41.1122, 0, 0, 0, 0, 0, 0, 0, 5243.99, 0, 0, 0, 0, 0
45, 5007.26, 2153.48, 5773.14, 6274.42, 4877.59, 1942.41, 5614.98, 6030.11, 0.0854231, 0, 0.0837653, 0, 129.341, 211.645, 158.17, 258.819, 87.9511, 128.866, 41.3896, 82.7793, 117.341, 43.6528, 55.8044, 73.5364, 36.3824, 2.31325, 38.6956, 17.1087, 0, 0, 0, 0, 119.602, 9.73894, 0, 0, 0, 0, 0, 46.0654, 9.73894, 0, 0, 0, 0, 0, 32.1468, 0, 0, 0, 0, 0, 0, 41.3896, 0, 0, 0, 0, 0, 0, 0, 4877.59, 0, 0, 0, 0, 0
46, 4787.69, 2065.43, 5773.14, 6274.42, 4665.65, 1866.4, 5614.98, 6030.11, 0, 0, 0, 0, 121.849, 199.376, 158.17, 258.819, 80.2989, 116.275, 41.5503, 83.1007, 117.341, 43.6528, 50.967, 70.8823, 33.2379, 2.11521, 35.3531, 15.6139, 0, 0, 0, 0, 112.966, 8.8828, 0, 0, 0, 0, 0, 42.0842, 8.8828, 0, 0, 0, 0, 0, 29.3319, 0, 0, 0, 0, 0, 0, 41.5503, 0, 0, 0, 0, 0, 0, 0, 4665.65, 0, 0, 0, 0, 0
